passing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,passing_yards,passing_yards_per_game,passing_completions,passing_attempts,completion_percentage,passing_touchdowns,interceptions_thrown,passer_rating,games_played,year,category
1,Jordan,Durham,Jordan Durham,/fl/jacksonville/zarephath-academy-eagles/athletes/jordan-durham/football/stats/?careerid=hj2jbp0g97kee,hj2jbp0g97kee,QB,Zarephath Academy,FL,6047,6047,403.1,287,403,0.712,62,6,147,15,2024,passing
2,Sawyer,Anderson,Sawyer Anderson,/tx/dallas/parish-episcopal-panthers/athletes/sawyer-anderson/football/stats/?careerid=hcl753n1gv1o8,hcl753n1gv1o8,QB,Parish Episcopal,TX,5134,5134,366.7,255,393,0.649,49,9,138,14,2024,passing
3,Jaylen,Hewitt,Jaylen Hewitt,/nc/havelock/havelock-rams/athletes/jaylen-hewitt/football/stats/?careerid=8bt68hcoeg966,8bt68hcoeg966,QB,Havelock,NC,4620,4620,355.4,264,419,0.63,43,19,116,13,2024,passing
4,Ja'niaus,Avanti k'mere hall,Ja'niaus Avanti k'mere hall,/oh/lima/lima-senior-spartans/athletes/janiaus-avanti-kmere-hall/football/stats/?careerid=nsmm4btsip8ue,nsmm4btsip8ue,QB,Lima Senior,OH,4613,4613,419.4,277,448,0.618,58,19,118,11,2024,passing
5,Jack,Moran,Jack Moran,/nj/princeton/hun-raiders/athletes/jack-moran/football/stats/?careerid=l9j6f5nu7rsue,l9j6f5nu7rsue,QB,Hun,NJ,4513,4513,451.3,203,278,0.73,47,5,147,10,2024,passing
6,Kalani,Mcleod,Kalani Mcleod,/ca/fairfield/vanden-vikings/athletes/kalani-mcleod/football/stats/?careerid=431sf8h2qh6sc,431sf8h2qh6sc,QB,Vanden,CA,4494,4494,299.6,276,386,0.715,39,7,136,15,2024,passing
7,Peyton,Houston,Peyton Houston,/la/shreveport/evangel-christian-academy-eagles/athletes/peyton-houston/football/stats/?careerid=ug8fa4eni6i99,ug8fa4eni6i99,QB,Evangel Christian Academy,LA,4480,4480,373.3,310,443,0.7,38,6,125,12,2024,passing
8,Sands,Dougherty,Sands Dougherty,/ca/morro-bay/morro-bay-pirates/athletes/sands-dougherty/football/stats/?careerid=dsm2e67cbcik4,dsm2e67cbcik4,"QB, SS",Morro Bay,CA,4441,4441,317.2,310,434,0.714,50,14,129,14,2024,passing
9,Holden,Phillips,Holden Phillips,/tx/wolfforth/frenship-tigers/athletes/holden-phillips/football/stats/?careerid=84h2svft87s66,84h2svft87s66,"QB, OLB",Frenship,TX,4438,4438,369.8,261,349,0.748,57,7,148,12,2024,passing
10,Brady,Hart,Brady Hart,/fl/cocoa/cocoa-tigers/athletes/brady-hart/football/stats/?careerid=qo0nmv8n9tjaa,qo0nmv8n9tjaa,QB,Cocoa,FL,4360,4360,311.4,265,390,0.679,40,8,131,14,2024,passing
