receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,yards_per_reception,receptions,longest_reception,receiving_touchdowns,games_played,year,category
1,Noah,Kjar,Noah Kjar,/ut/draper/corner-canyon-chargers/athletes/noah-kjar/football/stats/?careerid=id95pq6glbl44,id95pq6glbl44,"WR, OLB",Corner Canyon,UT,1918,1918,137.0,19.77,97,77,22,14,2020,receiving
2,Travis,Hunter,Travis Hunter,/ga/suwanee/collins-hill-eagles/athletes/travis-hunter/football/stats/?careerid=angmkhi0lmvh1,angmkhi0lmvh1,"CB, WR",Collins Hill,GA,1746,1746,116.4,12.74,137,54,24,15,2020,receiving
3,Dominique,Mckenzie,Dominique Mckenzie,/ut/st-george/pine-view-panthers/athletes/dominique-mckenzie/football/stats/?careerid=pceg5n15c38vf,pceg5n15c38vf,"WR, DB",Pine View,UT,1719,1719,122.8,20.46,84,0,18,14,2020,receiving
4,Lonnie,Adkism,Lonnie Adkism,/tx/corpus-christi/miller-buccaneers/athletes/lonnie-adkism/football/stats/?careerid=9dqhb0bgpe755,9dqhb0bgpe755,WR,Miller,TX,1676,1676,128.9,20.44,82,75,20,13,2020,receiving
5,Conner,Eulenfeld,Conner Eulenfeld,/tx/orange-grove/orange-grove-bulldogs/athletes/conner-eulenfeld/football/stats/?careerid=t2r3vccjcnjff,t2r3vccjcnjff,"ATH, WR",Orange Grove,TX,1658,1658,150.7,16.92,98,65,17,11,2020,receiving
6,Eric,Mcalister jr.,Eric Mcalister jr.,/tx/azle/azle-hornets/athletes/eric-mcalister-jr/football/stats/?careerid=ksv51m9r68dtd,ksv51m9r68dtd,WR,Azle,TX,1631,1631,135.9,21.75,75,75,21,12,2020,receiving
7,Adriel,Clark,Adriel Clark,/ga/tiger/rabun-county-wildcats/athletes/adriel-clark/football/stats/?careerid=02du39hpsnv99,02du39hpsnv99,WR,Rabun County,GA,1558,1558,111.3,21.34,73,76,28,14,2020,receiving
8,Jordan,Wallace,Jordan Wallace,/la/shreveport/calvary-baptist-academy-cavaliers/athletes/jordan-wallace/football/stats/?careerid=qmslo4aa63k44,qmslo4aa63k44,"WR, K",Calvary Baptist Academy,LA,1539,1539,139.9,27.98,55,0,17,11,2020,receiving
9,Luke,Armendariz,Luke Armendariz,/tx/andrews/andrews-mustangs/athletes/luke-armendariz/football/stats/?careerid=145qsetbbo944,145qsetbbo944,"WR, CB",Andrews,TX,1509,1509,137.2,21.25,71,76,20,11,2020,receiving
10,Eli,Martinez,Eli Martinez,/tx/slaton/slaton-tigers/athletes/eli-martinez/football/stats/?careerid=lfcdbugaqvd44,lfcdbugaqvd44,"QB, FS",Coronado,TX,1471,1471,122.6,17.1,86,82,21,12,2020,receiving
11,David,Spjut,David Spjut,/ut/kaysville/davis-darts/athletes/david-spjut/football/stats/?careerid=84m7ij4u3oqi2,84m7ij4u3oqi2,"WR, DB",Davis,UT,1446,1446,120.5,20.08,72,84,11,12,2020,receiving
12,D'andre,Randolph,D'andre Randolph,/ut/sandy/alta-hawks/athletes/dandre-randolph/football/stats/?careerid=qfqgm2tvbd5i2,qfqgm2tvbd5i2,"WR, CB",Alta,UT,1442,1442,120.2,21.52,67,97,15,12,2020,receiving
13,Parker,Robertson,Parker Robertson,/tx/mesquite/dallas-christian-chargers/athletes/parker-robertson/football/stats/?careerid=qr45bdmpsfgue,qr45bdmpsfgue,,Dallas Christian,TX,1442,1442,144.2,18.49,78,91,9,10,2020,receiving
14,Hayden,Schrader,Hayden Schrader,/ar/bryant/bryant-hornets/athletes/hayden-schrader/football/stats/?careerid=kueohbsq72qvf,kueohbsq72qvf,"TE, WR",Bryant,AR,1424,1424,118.7,20.94,68,86,20,12,2020,receiving
15,Keshawn,Scott,Keshawn Scott,/ar/wilson/rivercrest-colts/athletes/keshawn-scott/football/stats/?careerid=u70vnjg36m477,u70vnjg36m477,"RB, DE",Rivercrest,AR,1423,1423,101.6,19.76,72,78,19,14,2020,receiving
16,Cameron,O'banan,Cameron O'banan,/tx/dripping-springs/dripping-springs-tigers/athletes/cameron-obanan/football/stats/?careerid=d25b39f5ln7l5,d25b39f5ln7l5,"QB, WR",Dripping Springs,TX,1405,1405,156.1,20.36,69,77,21,9,2020,receiving
17,Keaton,Baker,Keaton Baker,/oh/hanoverton/united-golden-eagles/athletes/keaton-baker/football/stats/?careerid=k95ttqkvdvqrb,k95ttqkvdvqrb,"CB, WR",United,OH,1392,1392,139.2,16.19,86,94,0,10,2020,receiving
18,Myles,Butler,Myles Butler,/al/montgomery/montgomery-catholic-knights/athletes/myles-butler/football/stats/?careerid=0qhb49a9irv88,0qhb49a9irv88,"WR, LS",Montgomery Catholic,AL,1382,1382,98.7,21.59,64,85,14,14,2020,receiving
19,Jayden,Cornell,Jayden Cornell,/oh/kenton/kenton-wildcats/athletes/jayden-cornell/football/stats/?careerid=n2hu3sb4nn8sc,n2hu3sb4nn8sc,"WR, FS",Kenton,OH,1376,1376,152.9,14.64,94,0,11,9,2020,receiving
20,Hayden,Cooper,Hayden Cooper,/ok/kiefer/kiefer-trojans/athletes/hayden-cooper/football/stats/?careerid=0egn27gp4t022,0egn27gp4t022,"WR, SS",Kiefer,OK,1363,1363,123.9,20.04,68,93,18,11,2020,receiving
21,Adraean,Lloyd,Adraean Lloyd,/tx/corpus-christi/miller-buccaneers/athletes/adraean-lloyd/football/stats/?careerid=kaqggttqgq499,kaqggttqgq499,"WR, FS",Miller,TX,1351,1351,103.9,19.87,68,86,14,13,2020,receiving
22,David,Juarez,David Juarez,/tx/decatur/decatur-eagles/athletes/david-juarez/football/stats/?careerid=b4eng2r459pvf,b4eng2r459pvf,WR,Decatur,TX,1351,1351,103.9,17.32,78,64,15,13,2020,receiving
23,Cade,Roberts,Cade Roberts,/fl/santa-rosa-beach/south-walton-seahawks/athletes/cade-roberts/football/stats/?careerid=iukv0019qgt22,iukv0019qgt22,WR,South Walton,FL,1350,1350,135.0,15.34,88,52,10,10,2020,receiving
24,Troy parker,Hughes,Troy parker Hughes,/tn/elizabethton/elizabethton-fighting-cyclones/athletes/troy-parker-hughes/football/stats/?careerid=400gpiue3qko8,400gpiue3qko8,"WR, SS",Elizabethton,TN,1326,1326,94.7,21.39,62,98,20,14,2020,receiving
25,Keymari,Odum,Keymari Odum,/fl/davenport/ridge-community-bolts/athletes/keymari-odum/football/stats/?careerid=p0nv6ipd4a4aa,p0nv6ipd4a4aa,"ATH, CB",Ridge Community,FL,1318,1318,131.8,20.28,65,76,16,10,2020,receiving
26,Zac,Dyer,Zac Dyer,/ga/athens/prince-avenue-christian-wolverines/athletes/zac-dyer/football/stats/?careerid=k2bl3oqamq222,k2bl3oqamq222,"WR, FS",Prince Avenue Christian,GA,1318,1318,94.1,19.97,66,0,10,14,2020,receiving
27,Dj,Allen,Dj Allen,/tx/gladewater/gladewater-bears/athletes/dj-allen/football/stats/?careerid=3le0bbsket4ee,3le0bbsket4ee,"WR, DB",Gladewater,TX,1316,1316,131.6,22.3,59,89,17,10,2020,receiving
28,Ladd,Ivins,Ladd Ivins,/ut/blanding/san-juan-broncos/athletes/ladd-ivins/football/stats/?careerid=acfedqd0s9avf,acfedqd0s9avf,"WR, FS",San Juan,UT,1315,1315,109.6,14.78,89,64,10,12,2020,receiving
29,Pierce,Browning,Pierce Browning,/tn/knoxville/grace-christian-academy-rams/athletes/pierce-browning/football/stats/?careerid=l9j1u058odc22,l9j1u058odc22,"WR, DB",Grace Christian Academy,TN,1314,1314,119.5,14.44,91,56,9,11,2020,receiving
30,Jay,Fair,Jay Fair,/tx/rockwall/rockwall-heath-hawks/athletes/jay-fair/football/stats/?careerid=he7qqn0s9gu00,he7qqn0s9gu00,WR,Rockwall-Heath,TX,1303,1303,100.2,17.85,73,63,12,13,2020,receiving
31,Cole,Kirkpatrick,Cole Kirkpatrick,/tx/argyle/argyle-eagles/athletes/cole-kirkpatrick/football/stats/?careerid=h6vtv53q2kf77,h6vtv53q2kf77,"WR, FS",Argyle,TX,1301,1301,86.7,18.86,69,13,17,15,2020,receiving
32,Titan,Kilgore,Titan Kilgore,/ut/bluffdale/summit-academy-bears/athletes/titan-kilgore/football/stats/?careerid=81g1unbf1nhp9,81g1unbf1nhp9,"WR, FS",Summit Academy,UT,1297,1297,108.1,21.62,60,87,16,12,2020,receiving
33,Kaydin,Pope,Kaydin Pope,/tn/savannah/hardin-county-tigers/athletes/kaydin-pope/football/stats/?careerid=kdsbtcn333h66,kdsbtcn333h66,"DB, WR",Hardin County,TN,1295,1295,99.6,23.12,56,68,12,13,2020,receiving
34,Landon,Samson,Landon Samson,/tx/southlake/southlake-carroll-dragons/athletes/landon-samson/football/stats/?careerid=7ijd5aln3v8ue,7ijd5aln3v8ue,WR,Southlake Carroll,TX,1293,1293,92.4,17.24,75,66,15,14,2020,receiving
35,Brayden,Collett,Brayden Collett,/ga/evans/greenbrier-wolfpack/athletes/brayden-collett/football/stats/?careerid=6uqrcm4jfdarb,6uqrcm4jfdarb,WR,Greenbrier,GA,1288,1288,117.1,19.52,66,77,21,11,2020,receiving
36,Parker,Priddy,Parker Priddy,/tx/godley/godley-wildcats/athletes/parker-priddy/football/stats/?careerid=ufgc1k4kvmb22,ufgc1k4kvmb22,WR,Godley,TX,1288,1288,107.3,17.64,73,51,10,12,2020,receiving
37,Jaylen,Herman,Jaylen Herman,/tx/crosby/crosby-cougars/athletes/jaylen-herman/football/stats/?careerid=34apridcg2755,34apridcg2755,WR,Crosby,TX,1286,1286,80.4,18.91,68,68,15,16,2020,receiving
38,Cooper,White,Cooper White,/ar/little-rock/pulaski-academy-bruins/athletes/cooper-white/football/stats/?careerid=5cji98ne01vi2,5cji98ne01vi2,"WR, TE",Pulaski Academy,AR,1285,1285,98.8,20.4,63,81,18,13,2020,receiving
39,Cooper,Ezard,Cooper Ezard,/mo/camdenton/camdenton-lakers/athletes/cooper-ezard/football/stats/?careerid=dkcd4spedj4vf,dkcd4spedj4vf,"WR, WR",Camdenton,MO,1281,1281,116.5,11.75,109,30,15,11,2020,receiving
40,Ty,J dugger,Ty J dugger,/ar/searcy/harding-academy-wildcats/athletes/ty-j-dugger/football/stats/?careerid=chbljvtv2rsue,chbljvtv2rsue,"WR, CB",Harding Academy,AR,1279,1279,106.6,15.99,80,69,15,12,2020,receiving
41,Payton,Mcclain,Payton Mcclain,/tx/eastland/eastland-mavericks/athletes/payton-mcclain/football/stats/?careerid=o6nmhdd103966,o6nmhdd103966,"WR, DE",Eastland,TX,1275,1275,98.1,15.74,81,55,15,13,2020,receiving
42,Kannen,Turley,Kannen Turley,/mo/jackson/jackson-fighting-indians/athletes/kannen-turley/football/stats/?careerid=9tojh5e8o9gff,9tojh5e8o9gff,WR,Jackson,MO,1273,1273,90.9,20.21,63,0,19,14,2020,receiving
43,Eli,Jochem,Eli Jochem,/pa/gibsonia/pine-richland-rams/athletes/eli-jochem/football/stats/?careerid=io4q4ulm83lqa,io4q4ulm83lqa,"WR, FS",Pine-Richland,PA,1271,1271,115.5,19.86,64,86,18,11,2020,receiving
44,Deuce,Mcgregor,Deuce Mcgregor,/tx/tyler/chapel-hill-bulldogs/athletes/deuce-mcgregor/football/stats/?careerid=8kmens24k2n99,8kmens24k2n99,WR,Chapel Hill,TX,1266,1266,105.5,22.61,56,0,10,12,2020,receiving
45,Brody,Glenn,Brody Glenn,/in/fort-wayne/fort-wayne-bishop-luers-knights/athletes/brody-glenn/football/stats/?careerid=tl7g7ub5bscue,tl7g7ub5bscue,"WR, DB",Fort Wayne Bishop Luers,IN,1265,1265,97.3,19.46,65,81,16,13,2020,receiving
46,Jackson,Young,Jackson Young,/tx/boerne/geneva-eagles/athletes/jackson-young/football/stats/?careerid=hjv5aj64ih9qa,hjv5aj64ih9qa,"WR, FS",Geneva,TX,1264,1264,126.4,19.45,65,72,11,10,2020,receiving
47,Mason,Gilkey,Mason Gilkey,/ok/pawhuska/pawhuska-huskies/athletes/mason-gilkey/football/stats/?careerid=hee0fae1h0daa,hee0fae1h0daa,"WR, FS",Pawhuska,OK,1261,1261,97.0,22.52,56,0,26,13,2020,receiving
48,Tyler,Yancey,Tyler Yancey,/tx/lindsay/lindsay-knights/athletes/tyler-yancey/football/stats/?careerid=ap90g8bv8f1cc,ap90g8bv8f1cc,"WR, DB",Lindsay,TX,1257,1257,114.3,18.48,68,80,18,11,2020,receiving
49,Derek,Brandt,Derek Brandt,/mo/owensville/owensville-dutchmen/athletes/derek-brandt/football/stats/?careerid=kf90ki0l7fln7,kf90ki0l7fln7,,Owensville,MO,1251,1251,125.1,23.6,53,55,14,10,2020,receiving
50,Tyler,Oberle,Tyler Oberle,/oh/west-jefferson/west-jefferson-roughriders/athletes/tyler-oberle/football/stats/?careerid=bbdh2cqjd32n7,bbdh2cqjd32n7,"WR, DB",West Jefferson,OH,1241,1241,137.9,17.99,69,0,15,9,2020,receiving
51,Dru,Johnson,Dru Johnson,/oh/van-wert/van-wert-cougars/athletes/dru-johnson/football/stats/?careerid=n80oi5dg8am66,n80oi5dg8am66,"WR, CB",Van Wert,OH,1237,1237,103.1,22.49,55,96,16,12,2020,receiving
52,Kolbe,Katsis,Kolbe Katsis,/ok/tulsa/lincoln-christian-bulldogs/athletes/kolbe-katsis/football/stats/?careerid=q8mpp3h42rcee,q8mpp3h42rcee,"WR, CB",Lincoln Christian,OK,1235,1235,95.0,24.7,50,0,16,13,2020,receiving
53,J.b.,Mitchell iii (jb3),J.b. Mitchell iii (jb3),/al/alabaster/thompson-warriors/athletes/jb-mitchell-iii-jb3-/football/stats/?careerid=8tem4a03id500,8tem4a03id500,"WR, SB",Thompson,AL,1232,1232,88.0,16.65,74,70,12,14,2020,receiving
54,Nick,Speros,Nick Speros,/ga/johns-creek/mount-pisgah-christian-patriots/athletes/nick-speros/football/stats/?careerid=8s62ek5p10ttd,8s62ek5p10ttd,"WR, DB",Mount Pisgah Christian,GA,1232,1232,112.0,14.16,87,72,7,11,2020,receiving
