receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,yards_per_reception,receptions,longest_reception,receiving_touchdowns,games_played,year,category
1,Dillon,Gresham,Dillon Gresham,/ca/san-jacinto/san-jacinto-tigers/athletes/dillon-gresham/football/stats/?careerid=971llcs615499,971llcs615499,"WR, SS",San Jacinto,CA,2051,2051,136.7,22.79,90,75,31,15,2022,receiving
2,Isaiah,Stevens,Isaiah Stevens,/ny/west-hempstead/west-hempstead-rams/athletes/isaiah-stevens/football/stats/?careerid=a3j0t33058bqa,a3j0t33058bqa,"SB, WR",West Hempstead,NY,2019,2019,168.2,14.42,140,85,21,12,2022,receiving
3,Jaden,Gibson,Jaden Gibson,/ga/tiger/rabun-county-wildcats/athletes/jaden-gibson/football/stats/?careerid=o6jc7sbi3tgrb,o6jc7sbi3tgrb,"WR, FS",Rabun County,GA,1950,1950,150.0,17.73,110,89,29,13,2022,receiving
4,William,Nettles,William Nettles,/tx/mesquite/dallas-christian-chargers/athletes/william-nettles/football/stats/?careerid=bgqq4au1nq3sc,bgqq4au1nq3sc,"CB, WR",Dallas Christian,TX,1906,1906,146.6,21.66,88,76,22,13,2022,receiving
5,Josh,Suarez,Josh Suarez,/tx/taft/taft-greyhounds/athletes/josh-suarez/football/stats/?careerid=vsgoo6cir5u33,vsgoo6cir5u33,"RB, WR",Taft,TX,1871,1871,143.9,16.86,111,97,23,13,2022,receiving
6,Crew,Erickson,Crew Erickson,/ut/heber-city/wasatch-wasps/athletes/crew-erickson/football/stats/?careerid=94urs1srs6uj3,94urs1srs6uj3,,Wasatch,UT,1829,1829,152.4,12.97,141,82,18,12,2022,receiving
7,Christopher,Culliver,Christopher Culliver,/nc/maiden/maiden-blue-devils/athletes/christopher-culliver/football/stats/?careerid=4tqtm56noei99,4tqtm56noei99,"WR, CB",Maiden,NC,1809,1809,129.2,22.61,80,80,26,14,2022,receiving
8,Jordan,Tapscott,Jordan Tapscott,/va/nokesville/kettle-run-cougars/athletes/jordan-tapscott/football/stats/?careerid=qv81hq5fmhgbb,qv81hq5fmhgbb,"WR, CB",Kettle Run,VA,1774,1774,118.3,18.1,98,78,19,15,2022,receiving
9,Kolby,Luna,Kolby Luna,/id/kellogg/kellogg-wildcats/athletes/kolby-luna/football/stats/?careerid=mgv4b9jujhek4,mgv4b9jujhek4,"WR, CB",Kellogg,ID,1753,1753,175.3,18.45,95,68,21,10,2022,receiving
10,Michael,Mussari,Michael Mussari,/oh/kings-mill/kings-knights/athletes/michael-mussari/football/stats/?careerid=fvqqmfdvhuocc,fvqqmfdvhuocc,WR,Kings,OH,1750,1750,116.7,21.08,83,87,29,15,2022,receiving
11,Donte,Ferrell,Donte Ferrell,/oh/cincinnati/woodward-bulldogs/athletes/donte-ferrell/football/stats/?careerid=gji3j0hdq40o8,gji3j0hdq40o8,"WR, DB",Woodward,OH,1744,1744,174.4,18.96,92,80,12,10,2022,receiving
12,Carter,Hancock,Carter Hancock,/az/gilbert/higley-knights/athletes/carter-hancock/football/stats/?careerid=vai9jbgirj2ue,vai9jbgirj2ue,WR,Higley,AZ,1727,1727,123.4,16.29,106,76,18,14,2022,receiving
13,Brandon,Phelps,Brandon Phelps,/az/gilbert/ala-gilbert-north-eagles/athletes/brandon-phelps/football/stats/?careerid=va1sq4bddsusc,va1sq4bddsusc,"WR, DB",ALA - Gilbert North,AZ,1710,1710,131.5,17.63,97,93,28,13,2022,receiving
14,Donald,Collier,Donald Collier,/ks/wichita/trinity-academy-knights/athletes/donald-collier/football/stats/?careerid=pbd5ac7jmheg0,pbd5ac7jmheg0,"WR, SS",Trinity Academy,KS,1710,1710,190.0,16.6,103,67,25,9,2022,receiving
15,Nathan,Leacock,Nathan Leacock,/nc/raleigh/millbrook-wildcats/athletes/nathan-leacock/football/stats/?careerid=hbpbil7jgmu44,hbpbil7jgmu44,"WR, CB",Millbrook,NC,1703,1703,113.5,20.77,82,89,23,15,2022,receiving
16,Eli,Lingenfelter,Eli Lingenfelter,/pa/martinsburg/central-dragons/athletes/eli-lingenfelter/football/stats/?careerid=lh698s2vt9pj3,lh698s2vt9pj3,"WR, DB",Central,PA,1675,1675,111.7,16.92,99,0,27,15,2022,receiving
17,Tate,Kjar,Tate Kjar,/ut/draper/corner-canyon-chargers/athletes/tate-kjar/football/stats/?careerid=04mua2glo6599,04mua2glo6599,"FS, WR",Corner Canyon,UT,1665,1665,118.9,16.16,103,95,19,14,2022,receiving
18,Miles,Coleman,Miles Coleman,/tx/austin/vandegrift-vipers/athletes/miles-coleman/football/stats/?careerid=jr5758nfj8499,jr5758nfj8499,,Vandegrift,TX,1664,1664,104.0,16.81,99,0,13,16,2022,receiving
19,Ryan,Williams,Ryan Williams,/al/saraland/saraland-spartans/athletes/ryan-williams/football/stats/?careerid=d9ukhg1g76k33,d9ukhg1g76k33,WR,Saraland,AL,1641,1641,109.4,18.65,88,84,24,15,2022,receiving
20,Ian,Sanchez,Ian Sanchez,/nm/albuquerque/la-cueva-bears/athletes/ian-sanchez/football/stats/?careerid=3i605290700n7,3i605290700n7,WR,La Cueva,NM,1638,1638,126.0,16.54,99,80,22,13,2022,receiving
21,Matthew,Morrell,Matthew Morrell,/ca/cypress/cypress-centurions/athletes/matthew-morrell/football/stats/?careerid=3vf8c013djdff,3vf8c013djdff,WR,Cypress,CA,1627,1627,116.2,20.34,80,81,15,14,2022,receiving
22,Xavier,Jordan,Xavier Jordan,/ca/los-angeles/cathedral-phantoms/athletes/xavier-jordan/football/stats/?careerid=9l9dbarch5a44,9l9dbarch5a44,"WR, CB",Cathedral,CA,1626,1626,125.1,19.59,83,91,20,13,2022,receiving
23,Duce,Robinson,Duce Robinson,/az/phoenix/pinnacle-pioneers/athletes/duce-robinson/football/stats/?careerid=e8jbmp38okjee,e8jbmp38okjee,WR,Pinnacle,AZ,1614,1614,115.3,19.21,84,75,14,14,2022,receiving
24,Jaylin,Mckinney,Jaylin Mckinney,/ar/little-rock/pulaski-academy-bruins/athletes/jaylin-mckinney/football/stats/?careerid=edqka0u8m5dh1,edqka0u8m5dh1,WR,Pulaski Academy,AR,1596,1596,133.0,16.8,95,0,15,12,2022,receiving
25,Kaylon,Morris,Kaylon Morris,/ar/fayetteville/fayetteville-bulldogs/athletes/kaylon-morris/football/stats/?careerid=5bktu2bqir8ue,5bktu2bqir8ue,WR,Fayetteville,AR,1593,1593,159.3,16.77,95,80,15,10,2022,receiving
