receiving_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,receiving_yards,receiving_yards_per_game,yards_per_reception,receptions,longest_reception,receiving_touchdowns,games_played,year,category
1,Judah,Bell,Judah Bell,/tx/tyler/bishop-gorman-crusaders/athletes/judah-bell/football/stats/?careerid=2pl7sqco3jbbb,2pl7sqco3jbbb,"WR, FS",Bishop Gorman,TX,2352,2352,213.8,21.38,110,0,18,11,2016,receiving
2,Sage,Surratt,Sage Surratt,/nc/denver/east-lincoln-mustangs/athletes/sage-surratt/football/stats/?careerid=q2qutadgc15sc,q2qutadgc15sc,"WR, FS",Lincolnton,NC,2104,2104,140.3,16.18,130,82,28,15,2016,receiving
3,Braxton,Ashcraft,Braxton Ashcraft,/tx/robinson/robinson-rockets/athletes/braxton-ashcraft/football/stats/?careerid=ibl3c3v616fcc,ibl3c3v616fcc,"WR, FS",Robinson,TX,2090,2090,174.2,20.1,104,77,37,12,2016,receiving
4,Ceedee,Lamb,Ceedee Lamb,/tx/richmond/foster-falcons/athletes/ceedee-lamb/football/stats/?careerid=rhl3lgm3nd000,rhl3lgm3nd000,"WR, FS",Foster,TX,2032,2032,135.5,20.74,98,93,33,15,2016,receiving
5,Reid,Hilbelink,Reid Hilbelink,/wi/cedar-grove/cedar-grove-belgium-rockets/athletes/reid-hilbelink/football/stats/?careerid=2vmfbt37adgdd,2vmfbt37adgdd,"WR, CB",Cedar Grove-Belgium,WI,1986,1986,141.9,20.47,97,0,22,14,2016,receiving
6,Waydale,Jones,Waydale Jones,/tx/beeville/jones-trojans/athletes/waydale-jones/football/stats/?careerid=jdf4e2q55v711,jdf4e2q55v711,WR,Jones,TX,1979,1979,164.9,17.21,115,0,30,12,2016,receiving
7,D.j.,Clayton,D.j. Clayton,/ms/dekalb/kemper-county-wildcats/athletes/dj-clayton/football/stats/?careerid=s2bdqcir6qnrb,s2bdqcir6qnrb,WR,Kemper County,MS,1931,1931,120.7,20.76,93,0,30,16,2016,receiving
8,Nolan,Groulx,Nolan Groulx,/nc/davidson/davidson-day-patriots/athletes/nolan-groulx/football/stats/?careerid=rqcnmb1bh1q55,rqcnmb1bh1q55,"WR, DB",Davidson Day,NC,1853,1853,168.5,17.16,108,80,24,11,2016,receiving
9,Luke,Montgomery,Luke Montgomery,/mo/springfield/glendale-falcons/athletes/luke-montgomery/football/stats/?careerid=ecgmfuqlt0urb,ecgmfuqlt0urb,"WR, SS",Glendale,MO,1811,1811,150.9,21.06,86,97,25,12,2016,receiving
10,Tykel,Landrum,Tykel Landrum,/nc/hendersonville/hendersonville-bearcats/athletes/tykel-landrum/football/stats/?careerid=ns7rhdppefdh1,ns7rhdppefdh1,"WR, FS",Hendersonville,NC,1775,1775,126.8,18.49,96,88,23,14,2016,receiving
11,Kalem,Reddix,Kalem Reddix,/ms/ocean-springs/st-martin-yellow-jackets/athletes/kalem-reddix/football/stats/?careerid=ccsar98ehp766,ccsar98ehp766,"WR, S",St. Martin,MS,1774,1774,147.8,19.5,91,96,20,12,2016,receiving
12,Cj,Johnson,Cj Johnson,/nc/greenville/dh-conley-vikings/athletes/cj-johnson/football/stats/?careerid=s3ac6fu6kq0i2,s3ac6fu6kq0i2,WR,D.H. Conley,NC,1755,1755,146.2,19.94,88,0,21,12,2016,receiving
13,Malachi,Russell,Malachi Russell,/ca/escondido/orange-glen-patriots/athletes/malachi-russell/football/stats/?careerid=opghosorps4vf,opghosorps4vf,"WR, DB",Orange Glen,CA,1742,1742,158.4,20.02,87,90,24,11,2016,receiving
14,Marquis,Spiker,Marquis Spiker,/ca/murrieta/murrieta-valley-nighthawks/athletes/marquis-spiker/football/stats/?careerid=q0nuspdtharh1,q0nuspdtharh1,WR,Murrieta Valley,CA,1742,1742,124.4,19.36,90,76,26,14,2016,receiving
15,Dakota,Larson,Dakota Larson,/nv/spring-creek/spring-creek-spartans/athletes/dakota-larson/football/stats/?careerid=jotfd24grfih1,jotfd24grfih1,"WR, DB",Spring Creek,NV,1736,1736,144.7,20.19,86,84,22,12,2016,receiving
16,Jayden,Borders,Jayden Borders,/nc/shelby/shelby-golden-lions/athletes/jayden-borders/football/stats/?careerid=l9r74cvgg2ng0,l9r74cvgg2ng0,WR,Shelby,NC,1726,1726,107.9,21.31,81,80,22,16,2016,receiving
17,'duce',Fuller,'duce' Fuller,/nc/greenville/dh-conley-vikings/athletes/duce-fuller/football/stats/?careerid=57el44ojsre77,57el44ojsre77,"WR, FS",D.H. Conley,NC,1711,1711,142.6,16.45,104,0,21,12,2016,receiving
18,Jeffrey,Elliott,Jeffrey Elliott,/tx/levelland/levelland-lobos/athletes/jeffrey-elliott/football/stats/?careerid=sdp4rfkpgns55,sdp4rfkpgns55,"WR, K",Levelland,TX,1703,1703,121.6,16.86,101,61,29,14,2016,receiving
19,Jordan,Murphy,Jordan Murphy,/ms/hattiesburg/hattiesburg-tigers/athletes/jordan-murphy/football/stats/?careerid=7np2sq8ao3i77,7np2sq8ao3i77,"WR, FS",Hattiesburg,MS,1695,1695,121.1,21.73,78,99,21,14,2016,receiving
20,Kerrion,Fields,Kerrion Fields,/tx/midlothian/midlothian-heritage-jaguars/athletes/kerrion-fields/football/stats/?careerid=iavo79gprl7n7,iavo79gprl7n7,"WR, DB",Midlothian Heritage,TX,1692,1692,141.0,18.39,92,84,18,12,2016,receiving
21,Kyle,Hopson,Kyle Hopson,/pa/dubois/dubois-beavers/athletes/kyle-hopson/football/stats/?careerid=a68d41cs0kln7,a68d41cs0kln7,WR,DuBois,PA,1665,1665,151.4,16.48,101,0,18,11,2016,receiving
22,Jerimiah,Foster,Jerimiah Foster,/ca/bakersfield/bakersfield-christian-eagles/athletes/jerimiah-foster/football/stats/?careerid=q3cglu8macsl5,q3cglu8macsl5,"WR, CB",Bakersfield Christian,CA,1652,1652,110.1,18.77,88,51,20,15,2016,receiving
23,Ben,Babcock,Ben Babcock,/nc/kernersville/bishop-mcguinness-villains/athletes/ben-babcock/football/stats/?careerid=jgb9np2uve6rb,jgb9np2uve6rb,"WR, SB",Bishop McGuinness,NC,1647,1647,137.2,16.81,98,76,18,12,2016,receiving
24,Gus,Ferreira,Gus Ferreira,/ca/chula-vista/hilltop-lancers/athletes/gus-ferreira/football/stats/?careerid=3u4sljdkh1abb,3u4sljdkh1abb,WR,Hilltop,CA,1645,1645,137.1,13.16,125,69,15,12,2016,receiving
25,Cutrell,Haywood,Cutrell Haywood,/ca/stockton/stagg-delta-kings/athletes/cutrell-haywood/football/stats/?careerid=atqol0usg1ovf,atqol0usg1ovf,"WR, CB",Stagg,CA,1644,1644,149.5,16.44,100,70,22,11,2016,receiving
26,Braden,Morrill,Braden Morrill,/ok/blackwell/blackwell-maroons/athletes/braden-morrill/football/stats/?careerid=df9m56eqt2jtd,df9m56eqt2jtd,"WR, P",Blackwell,OK,1628,1628,162.8,16.12,101,0,18,10,2016,receiving
27,Mason,Hurst,Mason Hurst,/ca/loomis/del-oro-golden-eagles/athletes/mason-hurst/football/stats/?careerid=7i3gj4gvqurp9,7i3gj4gvqurp9,"FS, WR",Del Oro,CA,1615,1615,100.9,20.7,78,52,17,16,2016,receiving
28,Bryson,Jackson,Bryson Jackson,/tx/houston/st-pius-x-panthers/athletes/bryson-jackson/football/stats/?careerid=8ghlqk98g2eh1,8ghlqk98g2eh1,WR,St. Pius X,TX,1607,1607,133.9,23.29,69,89,21,12,2016,receiving
29,Ryan,Hayden,Ryan Hayden,/wi/watertown/watertown-goslings/athletes/ryan-hayden/football/stats/?careerid=lvvba6l3r5i88,lvvba6l3r5i88,"WR, CB",Watertown,WI,1603,1603,145.7,17.05,94,0,0,11,2016,receiving
30,Kris,Thornton,Kris Thornton,/va/manassas/osbourn-eagles/athletes/kris-thornton/football/stats/?careerid=kkofrsvj89fh1,kkofrsvj89fh1,"RB, CB",Osbourn,VA,1601,1601,160.1,17.03,94,89,16,10,2016,receiving
31,Jacob,Moss,Jacob Moss,/ca/canyon-country/santa-clarita-christian-cardinals/athletes/jacob-moss/football/stats/?careerid=03fr56ika0bvf,03fr56ika0bvf,"WR, CB",Santa Clarita Christian,CA,1601,1601,133.4,14.3,112,0,14,12,2016,receiving
32,Charleston,Rambo,Charleston Rambo,/tx/cedar-hill/cedar-hill-longhorns/athletes/charleston-rambo/football/stats/?careerid=b4k4e3fdeapdd,b4k4e3fdeapdd,WR,Cedar Hill,TX,1590,1590,113.6,18.28,87,74,25,14,2016,receiving
33,Cody,Gustafson,Cody Gustafson,/pa/shippensburg/shippensburg-greyhounds/athletes/cody-gustafson/football/stats/?careerid=a8gtl4djd3bdd,a8gtl4djd3bdd,"WR, FS",Shippensburg,PA,1583,1583,121.8,18.84,84,71,15,13,2016,receiving
34,Jalen,Clayton,Jalen Clayton,/nc/swan-quarter/mattamuskeet-lakers/athletes/jalen-clayton/football/stats/?careerid=53eakr67psk77,53eakr67psk77,"WR, S",Mattamuskeet,NC,1583,1583,131.9,14.39,110,80,16,12,2016,receiving
35,Lucas,Nuñez,Lucas Nuñez,/ny/bronx/cardinal-hayes-cardinals/athletes/lucas-nu%C3%B1ez/football/stats/?careerid=1uk7inkm6jv33,1uk7inkm6jv33,"CB, WR",Cardinal Hayes,NY,1582,1582,121.7,27.28,58,90,21,13,2016,receiving
