sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_sacks,sacks_per_game,tackle_for_loss_yards,hurries,games_played,year,category
1,Garrison,Dibble,Garrison Dibble,/nc/winston-salem/atkins-camels/athletes/garrison-dibble/football/stats/?careerid=60e5mf5kleah1,60e5mf5kleah1,"DE, TE",Atkins,NC,31.0,31.0,3.1,92,54,10,2024,sacks
2,Julian,Thompson,Julian Thompson,/fl/tallahassee/st-john-paul-ii-panthers/athletes/julian-thompson/football/stats/?careerid=8gu0celgl0vqa,8gu0celgl0vqa,"LB, ATH",St. John Paul II,FL,31.0,31.0,2.8,23,16,11,2024,sacks
3,Tristian,Kelly,Tristian Kelly,/fl/jacksonville/impact-christian-academy-lions/athletes/tristian-kelly/football/stats/?careerid=dcs1pucm66388,dcs1pucm66388,"DE, LB",Impact Christian Academy,FL,28.0,28.0,2.8,95,25,10,2024,sacks
4,Kenderrius,Robertson,Kenderrius Robertson,/tn/memphis/mitchell-tigers/athletes/kenderrius-robertson/football/stats/?careerid=hbfub5bh76uk4,hbfub5bh76uk4,"DE, MLB",Mitchell,TN,28.0,28.0,2.5,0,6,11,2024,sacks
5,Colby,Cronk,Colby Cronk,/fl/palm-coast/flagler-palm-coast-bulldogs/athletes/colby-cronk/football/stats/?careerid=om6iq9537pltd,om6iq9537pltd,"DE, OLB",Flagler Palm Coast,FL,27.0,27.0,2.5,0,0,11,2024,sacks
6,Mason,Kasitati,Mason Kasitati,/ut/west-valley-city/granger-lancers/athletes/mason-kasitati/football/stats/?careerid=78lbvrt89snh1,78lbvrt89snh1,"OL, DL",Granger,UT,27.0,27.0,2.2,126,76,12,2024,sacks
7,Lamikal,Callahan,Lamikal Callahan,/la/kentwood/kentwood-kangaroos/athletes/lamikal-callahan/football/stats/?careerid=o8gsrq87b2idd,o8gsrq87b2idd,DE,Kentwood,LA,27.0,27.0,1.8,65,36,15,2024,sacks
8,Bryce,Davis,Bryce Davis,/nc/greensboro/grimsley-whirlies/athletes/bryce-davis/football/stats/?careerid=f9fg70pu1codd,f9fg70pu1codd,"DE, TE",Grimsley,NC,27.0,27.0,1.7,148,39,16,2024,sacks
9,Rashad,Streets,Rashad Streets,/nc/raleigh/millbrook-wildcats/athletes/rashad-streets/football/stats/?careerid=ausaaedmbnhqa,ausaaedmbnhqa,DE,Millbrook,NC,26.5,26.5,2.0,208,31,13,2024,sacks
10,Tyreek,Lewis,Tyreek Lewis,/oh/columbus/northland-vikings/athletes/tyreek-lewis/football/stats/?careerid=gccgbumihj7aa,gccgbumihj7aa,"DE, LS",Northland,OH,26.0,26.0,2.6,210,34,10,2024,sacks
11,Jalile,Elliott,Jalile Elliott,/nc/greensboro/dudley-panthers/athletes/jalile-elliott/football/stats/?careerid=kcgmf6j8gk9td,kcgmf6j8gk9td,"DE, TE",Dudley,NC,26.0,26.0,2.0,157,22,13,2024,sacks
12,Tyler,Powell,Tyler Powell,/nc/tarboro/tarboro-vikings/athletes/tyler-powell/football/stats/?careerid=cjidmkk0hck55,cjidmkk0hck55,"QB, DE",Tarboro,NC,25.0,25.0,1.7,153,0,15,2024,sacks
13,Dayvone,White,Dayvone White,/nv/las-vegas/democracy-prep-agassi-campus-blue-knights/athletes/dayvone-white/football/stats/?careerid=gdt9qnnjsqbvf,gdt9qnnjsqbvf,"DE, T",Democracy Prep Agassi Campus,NV,24.5,24.5,2.7,0,0,9,2024,sacks
14,Miguel,Onorato,Miguel Onorato,/il/chicago/gage-park-fighting-owls/athletes/miguel-onorato/football/stats/?careerid=l73m73a934k88,l73m73a934k88,"DE, OT",Gage Park,IL,24.0,24.0,2.7,0,0,9,2024,sacks
15,William,Marzolf,William Marzolf,/fl/orlando/edgewater-eagles/athletes/william-marzolf/football/stats/?careerid=8a52t7hi72tue,8a52t7hi72tue,OLB,Edgewater,FL,24.0,24.0,2.2,0,0,11,2024,sacks
16,A'veri,Hornes,A'veri Hornes,/va/richmond/armstrong-kennedy-wildcats/athletes/averi-hornes/football/stats/?careerid=v3qi3em4qj2ff,v3qi3em4qj2ff,"DE, RB",Armstrong (Kennedy),VA,24.0,24.0,2.0,121,39,12,2024,sacks
17,Jordan,Hamm,Jordan Hamm,/nc/wilson/wilson-prep-tigers/athletes/jordan-hamm/football/stats/?careerid=v1lod2l0grf22,v1lod2l0grf22,"DE, OLB",Wilson Prep Academy,NC,24.0,24.0,1.8,136,29,13,2024,sacks
18,Trent,Pane,Trent Pane,/va/burke/lake-braddock-bruins/athletes/trent-pane/football/stats/?careerid=fp3amm69f3455,fp3amm69f3455,"DT, DE",Lake Braddock,VA,24.0,24.0,1.7,131,18,14,2024,sacks
