sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_sacks,sacks_per_game,tackle_for_loss_yards,hurries,games_played,year,category
1,Carl,Jones,Carl Jones,/ms/greenwood/greenwood-bulldogs/athletes/carl-jones/football/stats/?careerid=khnqrkte7mhbb,khnqrkte7mhbb,"DE, OLB",Greenwood,MS,34.0,34.0,2.6,217,33,13,2017,sacks
2,Bas,Osborn,Bas Osborn,/ca/windsor/windsor-jaguars/athletes/bas-osborn/football/stats/?careerid=vfu67p9kk0nrb,vfu67p9kk0nrb,"DE, OL",Windsor,CA,31.5,31.5,2.9,131,49,11,2017,sacks
3,Habakkuk,Thomas baldonado,Habakkuk Thomas baldonado,/fl/clearwater/clearwater-academy-international-knights/athletes/habakkuk-thomas-baldonado/football/stats/?careerid=2qkt2mlmke9bb,2qkt2mlmke9bb,"DE, WR",Clearwater Academy International,FL,30.5,30.5,4.4,0,0,7,2017,sacks
4,Jeremiah,Martin,Jeremiah Martin,/ca/san-bernardino/cajon-cowboys/athletes/jeremiah-martin/football/stats/?careerid=gm2q3cs1b07dd,gm2q3cs1b07dd,"DE, TE",Cajon,CA,30.5,30.5,1.9,0,18,16,2017,sacks
5,Rowdy,Robinson,Rowdy Robinson,/nm/belen/belen-eagles/athletes/rowdy-robinson/football/stats/?careerid=vnbm4s2cdj033,vnbm4s2cdj033,"OLB, G",Belen,NM,27.0,27.0,2.1,135,29,13,2017,sacks
6,Traveon,Freshwater,Traveon Freshwater,/nc/elizabeth-city/northeastern-eagles/athletes/traveon-freshwater/football/stats/?careerid=gn7v4peiakbaa,gn7v4peiakbaa,"DE, RB",Northeastern,NC,27.0,27.0,1.9,145,0,14,2017,sacks
7,Dean,Arriviello,Dean Arriviello,/nc/statesville/south-iredell-vikings/athletes/dean-arriviello/football/stats/?careerid=0hgrrsdq0ai22,0hgrrsdq0ai22,,South Iredell,NC,26.5,26.5,1.9,3,18,14,2017,sacks
8,Demarco,Smith,Demarco Smith,/ms/sardis/north-panola-cougars/athletes/demarco-smith/football/stats/?careerid=51vgm47glpqk4,51vgm47glpqk4,DE,North Panola,MS,26.0,26.0,2.2,14,0,12,2017,sacks
9,Jeremy,Ocbian,Jeremy Ocbian,/wa/puyallup/cascade-christian-cougars/athletes/jeremy-ocbian/football/stats/?careerid=jjkpqpc7ogdg0,jjkpqpc7ogdg0,"DE, G",Cascade Christian,WA,25.0,25.0,2.1,143,3,12,2017,sacks
10,Zach,Ritner,Zach Ritner,/ca/mission-viejo/capistrano-valley-cougars/athletes/zach-ritner/football/stats/?careerid=j5j9j63hcd8g0,j5j9j63hcd8g0,"DL, LS",Capistrano Valley,CA,24.5,24.5,2.0,124,16,12,2017,sacks
11,Jon mae,Wafford,Jon mae Wafford,/ca/san-jose/overfelt-royals/athletes/jon-mae-wafford/football/stats/?careerid=1eu48f2dsd7dd,1eu48f2dsd7dd,"OL, OLB",Overfelt,CA,24.0,24.0,2.4,0,0,10,2017,sacks
12,William,Adair,William Adair,/tx/fort-worth/paschal-panthers/athletes/william-adair/football/stats/?careerid=3ojo3knlemsm6,3ojo3knlemsm6,"DE, ATH",Paschal,TX,24.0,24.0,2.4,120,24,10,2017,sacks
13,Jalen,Brooks,Jalen Brooks,/nc/raleigh/cardinal-gibbons-crusaders/athletes/jalen-brooks/football/stats/?careerid=5e05g2ugo1666,5e05g2ugo1666,"LB, DE",Cardinal Gibbons,NC,24.0,24.0,2.0,0,0,12,2017,sacks
14,Cj,Mcmullen,Cj Mcmullen,/ca/newhall/hart-hawks/athletes/cj-mcmullen/football/stats/?careerid=58rv6bek5qm44,58rv6bek5qm44,"DE, TE",Hart,CA,24.0,24.0,2.0,0,0,12,2017,sacks
