sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_sacks,sacks_per_game,tackle_for_loss_yards,hurries,games_played,year,category
1,Tanner,Applebee,Tanner Applebee,/co/loveland/resurrection-christian-cougars/athletes/tanner-applebee/football/stats/?careerid=6fpmcdm41tao8,6fpmcdm41tao8,"MLB, RB",Resurrection Christian,CO,32.0,32.0,2.7,58,0,12,2019,sacks
2,Dylan,Kemp,Dylan Kemp,/tx/el-paso/americas-trail-blazers/athletes/dylan-kemp/football/stats/?careerid=c56j8uktmjtdd,c56j8uktmjtdd,,Americas,TX,31.0,31.0,2.6,0,0,12,2019,sacks
3,Giovanni,Davis,Giovanni Davis,/fl/miami/dr-krop-lightning/athletes/giovanni-davis/football/stats/?careerid=at3ac66nmf1p9,at3ac66nmf1p9,DE,Dr. Krop,FL,29.5,29.5,2.7,206,28,11,2019,sacks
4,Shemar,Monprevil,Shemar Monprevil,/fl/fort-lauderdale/stranahan-mighty-dragons/athletes/shemar-monprevil/football/stats/?careerid=tosm1e9ck6c55,tosm1e9ck6c55,SS,Stranahan,FL,28.0,28.0,2.8,118,14,10,2019,sacks
5,Khari,"""duke"" coleman","Khari ""duke"" coleman",/la/new-orleans/carver-collegiate-academy-rams/athletes/khari-duke-coleman/football/stats/?careerid=cs25pp53qctrb,cs25pp53qctrb,"OLB, DE",Carver Collegiate Academy,LA,27.5,27.5,2.3,227,33,12,2019,sacks
6,Jonathan,Fletcher,Jonathan Fletcher,/md/bel-air/harford-tech-cobras/athletes/jonathan-fletcher/football/stats/?careerid=g6pgjfmgdfc22,g6pgjfmgdfc22,"DE, DT",Harford Tech,MD,27.0,27.0,2.5,0,32,11,2019,sacks
7,Jamae,Blank,Jamae Blank,/nc/durham/southern-school-of-energy-and-sustainability-spartans/athletes/jamae-blank/football/stats/?careerid=krkofbf138011,krkofbf138011,"DE, OLB",Southern School of Energy and Sustainability,NC,26.5,26.5,2.2,178,34,12,2019,sacks
8,Malik,Jones,Malik Jones,/fl/zephyrhills/zephyrhills-christian-academy-warriors/athletes/malik-jones/football/stats/?careerid=1napb19o77qtd,1napb19o77qtd,"C, G",Zephyrhills Christian Academy,FL,26.0,26.0,2.4,0,0,11,2019,sacks
9,Jd,Stewart,Jd Stewart,/ms/greenwood/greenwood-bulldogs/athletes/jd-stewart/football/stats/?careerid=6hfhbnh4voudd,6hfhbnh4voudd,"DE, OLB",Greenwood,MS,26.0,26.0,1.9,92,28,14,2019,sacks
10,Christian,Sellers,Christian Sellers,/nc/mt-holly/mountain-island-charter-raptors/athletes/christian-sellers/football/stats/?careerid=kccd9vcgvduk4,kccd9vcgvduk4,"LB, DL",Mountain Island Charter,NC,26.0,26.0,1.9,112,6,14,2019,sacks
11,Jack,Raybourn,Jack Raybourn,/tx/cedar-hill/dasche-spartans/athletes/jack-raybourn/football/stats/?careerid=30lg9ekfptrue,30lg9ekfptrue,"TE, OLB",DasCHE,TX,25.0,25.0,2.1,213,16,12,2019,sacks
12,Marcel,Gabriel,Marcel Gabriel,/dc/washington/roosevelt-roughriders/athletes/marcel-gabriel/football/stats/?careerid=ftrfipf481hue,ftrfipf481hue,DE,Roosevelt,DC,24.0,24.0,2.2,102,16,11,2019,sacks
13,Parker,Monnig,Parker Monnig,/mo/ofallon/fort-zumwalt-north-panthers/athletes/parker-monnig/football/stats/?careerid=trlej9hqiv7td,trlej9hqiv7td,OLB,Fort Zumwalt North,MO,24.0,24.0,2.0,0,0,12,2019,sacks
14,Kaevon,Freshwater,Kaevon Freshwater,/nc/elizabeth-city/northeastern-eagles/athletes/kaevon-freshwater/football/stats/?careerid=c2fa38a501533,c2fa38a501533,"DT, RB",Northeastern,NC,24.0,24.0,1.7,111,0,14,2019,sacks
15,Jason,Harris,Jason Harris,/az/gilbert/higley-knights/athletes/jason-harris/football/stats/?careerid=t7t5mrn98qptd,t7t5mrn98qptd,"DE, WR",Higley,AZ,23.0,23.0,2.3,19,0,10,2019,sacks
16,Milan,Summers,Milan Summers,/nc/high-point/high-point-christian-academy-cougars/athletes/milan-summers/football/stats/?careerid=ttq4h7k9gnbi2,ttq4h7k9gnbi2,,Dudley,NC,22.5,22.5,1.7,190,24,13,2019,sacks
17,Frankie,Burgess,Frankie Burgess,/fl/pahokee/pahokee-blue-devils/athletes/frankie-burgess/football/stats/?careerid=1mvcmp5htcei2,1mvcmp5htcei2,DE,Pahokee,FL,22.0,22.0,2.2,0,11,10,2019,sacks
18,Cooper,Davis,Cooper Davis,/fl/viera/viera-hawks/athletes/cooper-davis/football/stats/?careerid=u2midrp0jp1p9,u2midrp0jp1p9,DE,Viera,FL,22.0,22.0,2.2,133,18,10,2019,sacks
19,Liam,Boersma,Liam Boersma,/ca/dana-point/dana-hills-dolphins/athletes/liam-boersma/football/stats/?careerid=5qbqi1oqrd999,5qbqi1oqrd999,"TE, DE",Dana Hills,CA,22.0,22.0,2.2,141,33,10,2019,sacks
20,Carlos,Ramirez,Carlos Ramirez,/ca/pasadena/muir-mustangs/athletes/carlos-ramirez/football/stats/?careerid=5sh6nvicm08aa,5sh6nvicm08aa,"DE, T",Muir,CA,22.0,22.0,1.8,24,10,12,2019,sacks
21,Kemarte,Jefferson,Kemarte Jefferson,/dc/washington/mckinley-tech-trainers/athletes/kemarte-jefferson/football/stats/?careerid=7f4rl83sv9gvf,7f4rl83sv9gvf,"OLB, DE",McKinley Tech,DC,21.0,21.0,2.1,67,35,10,2019,sacks
22,Michael,Lockavitch,Michael Lockavitch,/ct/shelton/shelton-gaels/athletes/michael-lockavitch/football/stats/?careerid=sck6r4uu5gqk4,sck6r4uu5gqk4,"TE, DE",Shelton,CT,21.0,21.0,2.1,112,0,10,2019,sacks
23,Jacob,Claeson,Jacob Claeson,/ri/west-greenwich/exeter-west-greenwich-prout/athletes/jacob-claeson/football/stats/?careerid=dbpqn68bep622,dbpqn68bep622,,Exeter-West Greenwich/Prout,RI,21.0,21.0,1.9,0,0,11,2019,sacks
24,Aeneas,Peebles,Aeneas Peebles,/nc/knightdale/knightdale-knights/athletes/aeneas-peebles/football/stats/?careerid=lpgskn28h74td,lpgskn28h74td,"DE, TE",Knightdale,NC,21.0,21.0,1.9,0,16,11,2019,sacks
25,Mana jr,Kula,Mana jr Kula,/ut/west-herriman/herriman-mustangs/athletes/mana-jr-kula/football/stats/?careerid=biuotqq2t38ee,biuotqq2t38ee,"DE, FB",Herriman,UT,20.5,20.5,1.7,133,21,12,2019,sacks
26,Antwann,Dix,Antwann Dix,/in/indianapolis/indianapolis-cardinal-ritter-raiders/athletes/antwann-dix/football/stats/?careerid=jlu44dm3mffsc,jlu44dm3mffsc,"RB, DE",Indianapolis Cardinal Ritter,IN,20.0,20.0,1.8,97,3,11,2019,sacks
27,Dylan,Ruiz,Dylan Ruiz,/fl/kissimmee/osceola-kowboys/athletes/dylan-ruiz/football/stats/?careerid=u5vvejm38ipn7,u5vvejm38ipn7,"DE, MLB",Osceola,FL,20.0,20.0,1.8,114,22,11,2019,sacks
28,Aaron,Hall,Aaron Hall,/nc/durham/southern-school-of-energy-and-sustainability-spartans/athletes/aaron-hall/football/stats/?careerid=q85oftpp7d133,q85oftpp7d133,"DE, TE",Southern School of Energy and Sustainability,NC,20.0,20.0,1.8,110,39,11,2019,sacks
29,Khari,Upshaw,Khari Upshaw,/co/aurora/smoky-hill-buffaloes/athletes/khari-upshaw/football/stats/?careerid=7kqbet1qhc944,7kqbet1qhc944,DE,Smoky Hill,CO,20.0,20.0,1.7,0,0,12,2019,sacks
30,Kaleb,Patton,Kaleb Patton,/ga/sandy-springs/riverwood-raiders/athletes/kaleb-patton/football/stats/?careerid=jssgukp3uq799,jssgukp3uq799,"OLB, RB",Riverwood,GA,20.0,20.0,1.7,85,4,12,2019,sacks
31,Luka,Sarac,Luka Sarac,/ca/oak-park/oak-park-eagles/athletes/luka-sarac/football/stats/?careerid=si8rspnu5h599,si8rspnu5h599,"DE, TE",Oak Park,CA,20.0,20.0,1.7,77,7,12,2019,sacks
32,Jared,Ivey,Jared Ivey,/ga/suwanee/north-gwinnett-bulldogs/athletes/jared-ivey/football/stats/?careerid=rgu3akha1a899,rgu3akha1a899,DL,North Gwinnett,GA,20.0,20.0,1.5,71,14,13,2019,sacks
33,Adrian,Spellman,Adrian Spellman,/nc/elizabeth-city/northeastern-eagles/athletes/adrian-spellman/football/stats/?careerid=brt0go8dts7qa,brt0go8dts7qa,"TE, DE",Northeastern,NC,20.0,20.0,1.3,88,0,15,2019,sacks
34,Andrew,Yanoshak,Andrew Yanoshak,/pa/altoona/bishop-guilfoyle-marauders/athletes/andrew-yanoshak/football/stats/?careerid=al6vj8n8ufque,al6vj8n8ufque,"TE, DE",Bishop Guilfoyle,PA,20.0,20.0,1.3,165,34,15,2019,sacks
35,Michael,Richter,Michael Richter,/ca/santee/santana-sultans/athletes/michael-richter/football/stats/?careerid=ha71u4j7fk4aa,ha71u4j7fk4aa,DE,Santana,CA,19.5,19.5,1.5,0,0,13,2019,sacks
36,Kamar,Watkins,Kamar Watkins,/ca/pasadena/muir-mustangs/athletes/kamar-watkins/football/stats/?careerid=e8oa4nf6ua7j3,e8oa4nf6ua7j3,"T, DT",Muir,CA,19.0,19.0,1.9,23,2,10,2019,sacks
37,Javion,Mckinney,Javion Mckinney,/ms/independence/independence-wildcats/athletes/javion-mckinney/football/stats/?careerid=tl641ms6soap9,tl641ms6soap9,"LB, RB",Independence,MS,19.0,19.0,1.9,181,56,10,2019,sacks
38,Bradley,Rankin,Bradley Rankin,/ca/orangevale/casa-roble-rams/athletes/bradley-rankin/football/stats/?careerid=i8egebctfggj3,i8egebctfggj3,"DE, C",Casa Roble,CA,19.0,19.0,1.7,74,0,11,2019,sacks
39,Dominick,Giudice,Dominick Giudice,/nj/new-monmouth/mater-dei-seraphs/athletes/dominick-giudice/football/stats/?careerid=k78ketp5c5144,k78ketp5c5144,"OL, DL",Mater Dei,NJ,19.0,19.0,1.7,10,0,11,2019,sacks
40,Evan,Cox,Evan Cox,/ca/canyon-country/canyon-cowboys/athletes/evan-cox/football/stats/?careerid=i0csr5f2l5pvf,i0csr5f2l5pvf,"DL, OL",Canyon,CA,19.0,19.0,1.7,71,9,11,2019,sacks
41,Donell,Harris jr.,Donell Harris jr.,/fl/miami/booker-t-washington-tornadoes/athletes/donell-harris-jr/football/stats/?careerid=q75dkdipa98p9,q75dkdipa98p9,"DE, TE",Gulliver Prep,FL,19.0,19.0,1.7,52,0,11,2019,sacks
42,Lando,Brown,Lando Brown,/ca/gardena/serra-cavaliers/athletes/lando-brown/football/stats/?careerid=gia74ai1ct722,gia74ai1ct722,LB,Serra,CA,19.0,19.0,1.7,143,0,11,2019,sacks
43,Khurram,Simpson,Khurram Simpson,/nj/new-monmouth/mater-dei-seraphs/athletes/khurram-simpson/football/stats/?careerid=28it308beuc66,28it308beuc66,"DL, OL",Mater Dei,NJ,19.0,19.0,1.6,13,0,12,2019,sacks
44,Jonathan,Brown,Jonathan Brown,/ga/sandy-springs/riverwood-raiders/athletes/jonathan-brown/football/stats/?careerid=6fc46oer81cvf,6fc46oer81cvf,"DE, TE",Riverwood,GA,19.0,19.0,1.6,67,2,12,2019,sacks
45,Lebbeus,Overton,Lebbeus Overton,/al/bessemer/bessemer-academy-rebels/athletes/lebbeus-overton/football/stats/?careerid=u7r7ah6v9ijg0,u7r7ah6v9ijg0,"DE, TE",Bessemer Academy,AL,19.0,19.0,1.5,130,32,13,2019,sacks
46,Kyle,Taylor,Kyle Taylor,/tx/the-colony/the-colony-cougars/athletes/kyle-taylor/football/stats/?careerid=f1071vhtov9m6,f1071vhtov9m6,"TE, OLB",John Paul II,TX,19.0,19.0,1.5,0,38,13,2019,sacks
47,Hugo,Escobedo,Hugo Escobedo,/ca/los-angeles/franklin-panthers/athletes/hugo-escobedo/football/stats/?careerid=6fvte8ciqd5j3,6fvte8ciqd5j3,OLB,Franklin,CA,19.0,19.0,1.4,147,12,14,2019,sacks
48,Christian,Threadgill,Christian Threadgill,/ca/manteca/sierra-timberwolves/athletes/christian-threadgill/football/stats/?careerid=bujf4hkup06j3,bujf4hkup06j3,"WR, DE",Sierra,CA,19.0,19.0,1.4,0,0,14,2019,sacks
49,Malaki,Hamrick,Malaki Hamrick,/nc/shelby/shelby-golden-lions/athletes/malaki-hamrick/football/stats/?careerid=95aplhh5n1m11,95aplhh5n1m11,DL,Shelby,NC,19.0,19.0,1.3,130,0,15,2019,sacks
