sacks_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_sacks,sacks_per_game,tackle_for_loss_yards,hurries,games_played,year,category
1,Cameron ,Johnson ,Cameron  Johnson ,/fl/hollywood/mcarthur-mustangs/athletes/cameron-johnson/football/stats/?careerid=tkrpq1h3egq00,tkrpq1h3egq00,"WR, DE",McArthur,FL,32.5,32.5,3.6,0,16,9,2011,sacks
2,Cody,Rounds,Cody Rounds,/fl/coral-springs/coral-springs-charter-panthers/athletes/cody-rounds/football/stats/?careerid=2c1a1vjfuo3ue,2c1a1vjfuo3ue,"DE, QB",Coral Springs Charter,FL,31.0,31.0,3.1,0,0,10,2011,sacks
3,Joey ,Deal,Joey  Deal,/pa/west-sunbury/moniteau-warriors/athletes/joey-deal/football/stats/?careerid=8qhje7kh71naa,8qhje7kh71naa,"TE, DE",Moniteau,PA,31.0,31.0,2.4,216,2,13,2011,sacks
4,Luke,Schreiber,Luke Schreiber,/pa/st-marys/st-marys-flying-dutch/athletes/luke-schreiber/football/stats/?careerid=g8egkhrttrpsc,g8egkhrttrpsc,"RB, LB",St. Marys,PA,30.5,30.5,3.0,0,0,10,2011,sacks
5,Ethan,Greene,Ethan Greene,/nc/boone/watauga-pioneers/athletes/ethan-greene/football/stats/?careerid=paoharhc3up44,paoharhc3up44,"QB, DB",Watauga,NC,27.0,27.0,2.1,196,0,13,2011,sacks
6,George,Jackson,George Jackson,/pa/philadelphia/martin-luther-king-cougars/athletes/george-jackson/football/stats/?careerid=vnaef5g5422aa,vnaef5g5422aa,"OL, MLB",Martin Luther King,PA,26.0,26.0,3.7,137,0,7,2011,sacks
7,Chris,McVay,Chris McVay,/al/brantley/heritage-christian/athletes/chris-mcvay/football/stats/?careerid=k1db9e9vi7qvf,k1db9e9vi7qvf,ATH,Heritage Christian,AL,26.0,26.0,3.2,4,2,8,2011,sacks
8,Walter,Adams,Walter Adams,/la/lake-providence/general-trass-panthers/athletes/walter-adams/football/stats/?careerid=52shnvesc3ag0,52shnvesc3ag0,"DT, OL",General Trass,LA,26.0,26.0,2.9,23,0,9,2011,sacks
9,Demetric,Mckinney,Demetric Mckinney,/ca/los-angeles/west-adams-panthers/athletes/demetric-mckinney/football/stats/?careerid=s4d17j536bd00,s4d17j536bd00,"OLB, DE",West Adams,CA,26.0,26.0,2.4,0,10,11,2011,sacks
10,Jake,Hall,Jake Hall,/or/salem/salem-academy-willamette-valley-christian-crusaders/athletes/jake-hall/football/stats/?careerid=qpp91satlbhdd,qpp91satlbhdd,"TE, DE",Salem Academy/Willamette Valley Christian,OR,25.0,25.0,2.5,0,0,10,2011,sacks
11,Darryl,Montgomery,Darryl Montgomery,/mi/detroit/westside-christian-academy-warriors/athletes/darryl-montgomery/football/stats/?careerid=6otc4dddokl88,6otc4dddokl88,"DE, TE",Westside Christian Academy,MI,25.0,25.0,2.5,168,13,10,2011,sacks
12,Ray,Edwards,Ray Edwards,/ca/north-highlands/highlands-scots/athletes/ray-edwards/football/stats/?careerid=leg5v0pje85ee,leg5v0pje85ee,"WR, LB",Highlands,CA,25.0,25.0,2.1,26,3,12,2011,sacks
13,Tyler,Bullard,Tyler Bullard,/nc/king/west-stokes-wildcats/athletes/tyler-bullard/football/stats/?careerid=l6u2l7s68tqg0,l6u2l7s68tqg0,"RB, LB",West Stokes,NC,25.0,25.0,1.6,159,0,16,2011,sacks
14,Carlos,Solano,Carlos Solano,/fl/coral-springs/coral-springs-charter-panthers/athletes/carlos-solano/football/stats/?careerid=jsv635ff987o8,jsv635ff987o8,"FB, DL",Coral Springs Charter,FL,24.0,24.0,2.2,0,0,11,2011,sacks
15,Adolphus,Washington,Adolphus Washington,/oh/cincinnati/taft-senators/athletes/adolphus-washington/football/stats/?careerid=hia3d8ihqfim6,hia3d8ihqfim6,DE,Taft,OH,23.5,23.5,2.1,0,0,11,2011,sacks
16,Breshard ,Harris ,Breshard  Harris ,/fl/hollywood/mcarthur-mustangs/athletes/breshard-harris/football/stats/?careerid=rngbjnctfcl33,rngbjnctfcl33,LB,McArthur,FL,23.0,23.0,2.1,0,8,11,2011,sacks
17,Narvel,Caze,Narvel Caze,/ma/everett/pope-john-xxiii-tigers/athletes/narvel-caze/football/stats/?careerid=co5re0qidudcc,co5re0qidudcc,"WR, DE",Pope John XXIII,MA,23.0,23.0,2.1,138,18,11,2011,sacks
18,Aaron,Johnson,Aaron Johnson,/ok/morris/morris-eagles/athletes/aaron-johnson/football/stats/?careerid=pf04ot6f8abh1,pf04ot6f8abh1,"TE, DE",Morris,OK,23.0,23.0,2.1,0,0,11,2011,sacks
19,Kyle,Kelley,Kyle Kelley,/ca/irvine/woodbridge-warriors/athletes/kyle-kelley/football/stats/?careerid=alfdvlkpeh666,alfdvlkpeh666,"TE, DE",Woodbridge,CA,22.0,22.0,1.8,0,0,12,2011,sacks
20,Trent,Mahler,Trent Mahler,/ca/concord/concord-bears/athletes/trent-mahler/football/stats/?careerid=bkf4s2hqhrsvf,bkf4s2hqhrsvf,"OL, DL",Concord,CA,22.0,22.0,1.6,162,0,14,2011,sacks
21,Curtis,Alexander,Curtis Alexander,/fl/havana/gadsden-county-jaguars/athletes/curtis-alexander/football/stats/?careerid=fig9hm906v000,fig9hm906v000,DE,Gadsden County,FL,21.5,21.5,1.8,0,0,12,2011,sacks
22,Da'shawn,Hand,Da'shawn Hand,/va/woodbridge/woodbridge-vikings/athletes/dashawn-hand/football/stats/?careerid=rdlger113mbi2,rdlger113mbi2,"DT, TE",Woodbridge,VA,21.0,21.0,2.1,0,0,10,2011,sacks
23,brandon,brown,brandon brown,/mi/detroit/douglass-hurricanes/athletes/brandon-brown/football/stats/?careerid=i3q9tr5t04tn7,i3q9tr5t04tn7,"C, DL",Douglass,MI,21.0,21.0,1.9,0,11,11,2011,sacks
24,Lashon,Riggins,Lashon Riggins,/ca/imperial-beach/mar-vista-mariners/athletes/lashon-riggins/football/stats/?careerid=nq0e5a4fu0qcc,nq0e5a4fu0qcc,DL,Mar Vista,CA,21.0,21.0,1.8,0,4,12,2011,sacks
25,Andrew,Armagost,Andrew Armagost,/pa/west-sunbury/moniteau-warriors/athletes/andrew-armagost/football/stats/?careerid=9j5nrsi9b5gn7,9j5nrsi9b5gn7,"OG, LB",Moniteau,PA,21.0,21.0,1.6,144,4,13,2011,sacks
26,Christian ,Walters,Christian  Walters,/az/apache-junction/imagine-prep-superstition-panthers/athletes/christian-walters/football/stats/?careerid=rljlmo5tsnli2,rljlmo5tsnli2,DE,Imagine Prep Superstition,AZ,20.5,20.5,2.0,88,0,10,2011,sacks
