tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
1,Tyteon,Gordon,Tyteon Gordon,/ms/meridian/meridian-wildcats/athletes/tyteon-gordon/football/stats/?careerid=4d4h8jobn5ree,4d4h8jobn5ree,OLB,Meridian,MS,251,251,19.3,163,88,22.0,3.0,13,2017,tackles
2,Ronnie,Wend,Ronnie Wend,/oh/nelsonville/nelsonville-york-buckeyes/athletes/ronnie-wend/football/stats/?careerid=rtfd2ns54gu44,rtfd2ns54gu44,"DB, WR",Nelsonville-York,OH,235,235,16.8,72,163,38.0,5.0,14,2017,tackles
3,Corbin,Foster,Corbin Foster,/tx/newton/newton-eagles/athletes/corbin-foster/football/stats/?careerid=vmc0587so6bsc,vmc0587so6bsc,"MLB, RB",Newton,TX,232,232,15.5,54,178,12.0,5.0,15,2017,tackles
4,Tyler,Walker,Tyler Walker,/nc/king/west-stokes-wildcats/athletes/tyler-walker/football/stats/?careerid=de9496bk97bk4,de9496bk97bk4,"FB, ILB",West Stokes,NC,224,224,17.2,156,68,44.0,1.0,13,2017,tackles
5,Dawson,Gruhler,Dawson Gruhler,/ca/redding/university-prep-panthers/athletes/dawson-gruhler/football/stats/?careerid=6ajhvhmcqe2k4,6ajhvhmcqe2k4,"MLB, G",University Prep,CA,223,223,20.3,91,132,29.0,3.0,11,2017,tackles
6,Ian,Harbert,Ian Harbert,/il/pana/pana-panthers/athletes/ian-harbert/football/stats/?careerid=hp0s4rnj0cug0,hp0s4rnj0cug0,,Pana,IL,216,216,19.6,63,153,5.0,2.0,11,2017,tackles
7,Micah,Mcfadden,Micah Mcfadden,/fl/tampa/plant-panthers/athletes/micah-mcfadden/football/stats/?careerid=lld9h8up7t499,lld9h8up7t499,"LB, FB",Plant,FL,211,211,15.1,126,85,39.0,7.0,14,2017,tackles
8,Holden,Brown,Holden Brown,/nc/mt-gilead/west-montgomery-warriors/athletes/holden-brown/football/stats/?careerid=dkt8q8mliro22,dkt8q8mliro22,"MLB, LS",West Montgomery,NC,209,209,14.9,27,182,19.0,7.0,14,2017,tackles
9,Makenzie,Black,Makenzie Black,/ms/jackson/callaway-chargers/athletes/makenzie-black/football/stats/?careerid=1sb26m2h54fdd,1sb26m2h54fdd,"MLB, OLB",Callaway,MS,207,207,15.9,40,167,38.0,1.0,13,2017,tackles
10,Joshua,Mccurty,Joshua Mccurty,/ca/chula-vista/eastlake-titans/athletes/joshua-mccurty/football/stats/?careerid=84qm7drnu0e88,84qm7drnu0e88,MLB,Eastlake,CA,206,206,15.8,133,73,6.0,6.0,13,2017,tackles
