tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
1,Landry,Kershaw,Landry Kershaw,/tx/dallas/bishop-lynch-friars/athletes/landry-kershaw/football/stats/?careerid=6oeup8m7kr1qa,6oeup8m7kr1qa,MLB,Bishop Lynch,TX,270,270,19.3,145,125,15.5,5.5,14,2016,tackles
2,Holton,Hufstedler,Holton Hufstedler,/tx/canadian/canadian-wildcats/athletes/holton-hufstedler/football/stats/?careerid=cahre2rr5g811,cahre2rr5g811,"TE, LB",Canadian,TX,260,260,17.3,43,217,40.0,5.0,15,2016,tackles
3,Anthony,Hines III,Anthony Hines III,/tx/plano/plano-east-panthers/athletes/anthony-hines-iii/football/stats/?careerid=fuq718pv0ri44,fuq718pv0ri44,MLB,Plano East,TX,245,245,22.3,138,107,38.0,6.0,11,2016,tackles
4,Isaias,Gonzalez,Isaias Gonzalez,/tx/banquete/banquete-bulldogs/athletes/isaias-gonzalez/football/stats/?careerid=45uj02qo48kn7,45uj02qo48kn7,"MLB, G",Banquete,TX,241,241,21.9,148,93,28.0,9.0,11,2016,tackles
5,Kyle,Doran,Kyle Doran,/mo/springfield/glendale-falcons/athletes/kyle-doran/football/stats/?careerid=mbuqsl8upink4,mbuqsl8upink4,"MLB, WR",Glendale,MO,228,228,20.7,144,84,8.0,0.0,11,2016,tackles
6,Brett,Sage,Brett Sage,/ks/osage-city/osage-city-indians/athletes/brett-sage/football/stats/?careerid=9p344cc1sjl99,9p344cc1sjl99,"MLB, RB",Osage City,KS,225,225,20.5,147,78,16.0,1.5,11,2016,tackles
7,Dustin,Rayfield,Dustin Rayfield,/sc/chesterfield/chesterfield-golden-rams/athletes/dustin-rayfield/football/stats/?careerid=o0uvbq97rjgue,o0uvbq97rjgue,MLB,Chesterfield,SC,222,222,22.2,71,151,4.5,0.0,10,2016,tackles
8,Jalen,Williams,Jalen Williams,/ca/stockton/brookside-christian-knights/athletes/jalen-williams/football/stats/?careerid=knl7l64361jm6,knl7l64361jm6,"WR, LB",Brookside Christian,CA,218,218,18.2,127,79,32.0,1.0,12,2016,tackles
9,Sloan,Rodberg,Sloan Rodberg,/tx/wills-point/wills-point-tigers/athletes/sloan-rodberg/football/stats/?careerid=7m5vu1r8q2566,7m5vu1r8q2566,"MLB, TE",Wills Point,TX,217,217,18.1,78,139,7.0,0.0,12,2016,tackles
10,Dawson,Gruhler,Dawson Gruhler,/ca/redding/university-prep-panthers/athletes/dawson-gruhler/football/stats/?careerid=6ajhvhmcqe2k4,6ajhvhmcqe2k4,"MLB, G",University Prep,CA,216,216,21.6,66,150,9.0,1.5,10,2016,tackles
11,Joe,Castaneda,Joe Castaneda,/az/miami/miami-vandals/athletes/joe-castaneda/football/stats/?careerid=nh0gj5lsbqhue,nh0gj5lsbqhue,"OL, DL",Miami,AZ,212,212,19.3,148,64,0.0,26.0,11,2016,tackles
12,Javonte,Williams,Javonte Williams,/nc/teachey/wallace-rose-hill-bulldogs/athletes/javonte-williams/football/stats/?careerid=cvjhu3io196i2,cvjhu3io196i2,"RB, LB",Wallace-Rose Hill,NC,210,210,13.1,136,74,14.5,0.0,16,2016,tackles
