tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
50,Chase,Hokey,Chase Hokey,/in/cambridge-city/cambridge-city-lincoln-golden-eagles/athletes/chase-hokey/football/stats/?careerid=lt9bjs3b9tp88,lt9bjs3b9tp88,"MLB, G",Cambridge City Lincoln,IN,184,184,16.7,114,70,18.0,1.0,11,2015,tackles
51,Evan,Conley,Evan Conley,/oh/perrysburg/perrysburg-yellow-jackets/athletes/evan-conley/football/stats/?careerid=git496oc6uncc,git496oc6uncc,"WR, DB",Perrysburg,OH,184,184,13.1,184,0,24.0,9.0,14,2015,tackles
52,Jacob,Payne,Jacob Payne,/nc/mebane/eastern-alamance-eagles/athletes/jacob-payne/football/stats/?careerid=cd10brmlq35g0,cd10brmlq35g0,LB,Eastern Alamance,NC,184,184,12.3,102,82,5.0,0.0,15,2015,tackles
53,Kyle,Sanderson,Kyle Sanderson,/ms/waynesboro/wayne-academy-jaguars/athletes/kyle-sanderson/football/stats/?careerid=p9ljdl9c36tdd,p9ljdl9c36tdd,ILB,Wayne Academy,MS,182,182,16.5,182,0,0.0,4.0,11,2015,tackles
54,Daniel,Freppon,Daniel Freppon,/ms/fulton/itawamba-agricultural-indians/athletes/daniel-freppon/football/stats/?careerid=8knr1vmgb4k88,8knr1vmgb4k88,MLB,Itawamba Agricultural,MS,182,182,16.5,121,61,0.0,4.0,11,2015,tackles
55,Zeb,Cornman,Zeb Cornman,/mo/mountain-view/liberty-eagles/athletes/zeb-cornman/football/stats/?careerid=jbj9608ts7ni2,jbj9608ts7ni2,"MLB, T",Liberty,MO,182,182,14.0,61,121,35.0,7.0,13,2015,tackles
56,Daniel,Galvan,Daniel Galvan,/tx/dallas/a-plus-academy-knights/athletes/daniel-galvan/football/stats/?careerid=88i1v1jcrqdm6,88i1v1jcrqdm6,"MLB, OLB",A Plus Academy,TX,181,181,18.1,116,65,0.0,5.0,10,2015,tackles
57,Ben,Wilson,Ben Wilson,/wa/sumner/sumner-spartans/athletes/ben-wilson/football/stats/?careerid=is99ifevj3n66,is99ifevj3n66,"TE, MLB",Sumner,WA,181,181,16.5,118,63,12.0,3.0,11,2015,tackles
58,Price,Bowen,Price Bowen,/nm/capitan/capitan-tigers/athletes/price-bowen/football/stats/?careerid=27aqmhhdncldd,27aqmhhdncldd,"QB, LB",Capitan,NM,181,181,15.1,36,145,10.0,2.0,12,2015,tackles
59,Chase,Lindley,Chase Lindley,/tx/windthorst/windthorst-trojans/athletes/chase-lindley/football/stats/?careerid=08p2tskl2t7m6,08p2tskl2t7m6,"OL, DL",Windthorst,TX,181,181,15.1,88,93,12.0,2.0,12,2015,tackles
60,David,Salser,David Salser,/ms/carriere/pearl-river-central-blue-devils/athletes/david-salser/football/stats/?careerid=1snh67gpb16dd,1snh67gpb16dd,"MLB, OLB",Pearl River Central,MS,181,181,13.9,100,81,11.0,2.0,13,2015,tackles
61,Eddie,Luna,Eddie Luna,/tx/cameron/ch-yoe-yoemen/athletes/eddie-luna/football/stats/?careerid=hjql2a7tv4e99,hjql2a7tv4e99,ILB,C.H. Yoe,TX,181,181,12.1,102,79,6.0,2.0,15,2015,tackles
62,Aaron,Yasulitis,Aaron Yasulitis,/pa/altoona/bishop-guilfoyle-marauders/athletes/aaron-yasulitis/football/stats/?careerid=2ipvq0jhvk122,2ipvq0jhvk122,"OLB, RB",Bishop Guilfoyle,PA,181,181,11.3,54,127,39.0,9.0,16,2015,tackles
63,Akivie,Bailey,Akivie Bailey,/ga/norman-park/colquitt-county-packers/athletes/akivie-bailey/football/stats/?careerid=2vk39merpv6vf,2vk39merpv6vf,OLB,Colquitt County,GA,180,180,12.0,122,58,12.0,5.0,15,2015,tackles
64,Dylan,Spesard,Dylan Spesard,/in/flora/carroll-cougars/athletes/dylan-spesard/football/stats/?careerid=7vi49lmcbfnvf,7vi49lmcbfnvf,"FB, MLB",Carroll,IN,179,179,16.3,129,50,6.0,0.0,11,2015,tackles
65,Flaubert,Honang,Flaubert Honang,/tx/saginaw/saginaw-rough-riders/athletes/flaubert-honang/football/stats/?careerid=n1g5emt9aj3aa,n1g5emt9aj3aa,"FS, SS",Saginaw,TX,179,179,16.3,74,105,1.0,0.0,11,2015,tackles
66,Raymond,Kindred,Raymond Kindred,/az/phoenix/northwest-christian-crusaders/athletes/raymond-kindred/football/stats/?careerid=ntj3pugvevhp9,ntj3pugvevhp9,"WR, DB",Northwest Christian,AZ,179,179,12.8,42,134,2.0,1.0,14,2015,tackles
