tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
1,Thomas,Rominger,Thomas Rominger,/ca/roseville/valley-christian-lions/athletes/thomas-rominger/football/stats/?careerid=977l0rvop43i2,977l0rvop43i2,"DE, T",Valley Christian,CA,238,238,21.6,101,137,52.0,8.0,11,2023,tackles
2,Cooper,Massey,Cooper Massey,/tx/brock/brock-eagles/athletes/cooper-massey/football/stats/?careerid=g9lo1rv3g16cc,g9lo1rv3g16cc,MLB,Brock,TX,238,238,15.9,154,84,40.0,5.0,15,2023,tackles
3,Evan,Combs,Evan Combs,/ca/orangevale/casa-roble-rams/athletes/evan-combs/football/stats/?careerid=35hdh560eh4ue,35hdh560eh4ue,"LB, WR",Casa Roble,CA,225,225,16.1,112,113,28.0,13.0,14,2023,tackles
4,Jaire,Broach,Jaire Broach,/ca/desert-hot-springs/desert-hot-springs-golden-eagles/athletes/jaire-broach/football/stats/?careerid=nuvgor7c9pbo8,nuvgor7c9pbo8,"ILB, WR",Desert Hot Springs,CA,220,220,16.9,63,157,5.0,0.5,13,2023,tackles
5,Jaeden,Calender,Jaeden Calender,/ms/brandon/brandon-bulldogs/athletes/jaeden-calender/football/stats/?careerid=nd1m2ec8vdqo8,nd1m2ec8vdqo8,LB,Brandon,MS,216,216,16.6,92,124,30.0,12.0,13,2023,tackles
6,Ty'Quereis,Wilson ,Ty'Quereis Wilson ,/la/farmerville/union-parish-farmers/athletes/tyquereis-wilson/football/stats/?careerid=ffb2ae6mn7500,ffb2ae6mn7500,OLB,Union Parish,LA,212,212,16.3,62,150,20.0,9.0,13,2023,tackles
7,Keegan,Sell,Keegan Sell,/oh/garrettsville/garfield-g-men/athletes/keegan-sell/football/stats/?careerid=g61ba89k5luue,g61ba89k5luue,"MLB, FB",Garfield,OH,210,210,16.2,146,64,33.0,4.0,13,2023,tackles
8,Kentonio,Kelly jr.,Kentonio Kelly jr.,/al/mobile/mobile-christian-leopards/athletes/kentonio-kelly-jr/football/stats/?careerid=glp7ig05s1g33,glp7ig05s1g33,"MLB, WR",Mobile Christian,AL,210,210,14.0,157,53,18.0,2.0,15,2023,tackles
9,Boone,Morris: 3 star lb/edge,Boone Morris: 3 star lb/edge,/tx/mount-vernon/mount-vernon-tigers/athletes/boone-morris-3-star-lb-edge/football/stats/?careerid=ve5ddj5eiun77,ve5ddj5eiun77,"ILB, DE",Mount Vernon,TX,205,205,17.1,162,43,9.0,2.0,12,2023,tackles
10,Zeke,Carwile,Zeke Carwile,/al/huntsville/westminster-christian-academy-wildcats/athletes/zeke-carwile/football/stats/?careerid=jn86ks0t5g9aa,jn86ks0t5g9aa,MLB,Westminster Christian Academy,AL,205,205,14.6,124,81,26.0,1.0,14,2023,tackles
11,Logan,Kundred,Logan Kundred,/co/littleton/chatfield-chargers/athletes/logan-kundred/football/stats/?careerid=no0f4703pr4o8,no0f4703pr4o8,LB,Chatfield,CO,204,204,14.6,99,105,11.0,1.0,14,2023,tackles
12,Cj,Miller,Cj Miller,/tx/anna/anna-coyotes/athletes/cj-miller/football/stats/?careerid=809dmurrv9qrb,809dmurrv9qrb,MLB,Anna,TX,204,204,12.8,119,85,23.0,8.0,16,2023,tackles
13,Aiden,Beadles,Aiden Beadles,/in/greencastle/south-putnam-eagles/athletes/aiden-beadles/football/stats/?careerid=02hmbens8n3bb,02hmbens8n3bb,"MLB, FB",South Putnam,IN,203,203,18.5,126,77,39.0,10.0,11,2023,tackles
14,Jon,Welch,Jon Welch,/al/buhl/sipsey-valley-bears/athletes/jon-welch/football/stats/?careerid=9qu3s8rm9hptd,9qu3s8rm9hptd,"RB, MLB",Sipsey Valley,AL,203,203,18.5,135,68,21.0,2.0,11,2023,tackles
15,Michael,Mcclenton,Michael Mcclenton,/fl/lake-mary/lake-mary-rams/athletes/michael-mcclenton/football/stats/?careerid=2hveupgoi7f22,2hveupgoi7f22,DE,Ocoee,FL,202,202,20.2,137,65,45.0,31.0,10,2023,tackles
16,Gavin,Richards,Gavin Richards,/oh/nelsonville/nelsonville-york-buckeyes/athletes/gavin-richards/football/stats/?careerid=ffo2u73p0ersc,ffo2u73p0ersc,RB,Nelsonville-York,OH,202,202,16.8,57,145,36.0,1.0,12,2023,tackles
17,Devin,Nash,Devin Nash,/wv/summersville/nicholas-county-grizzlies/athletes/devin-nash/football/stats/?careerid=eh3aga1p5lmk4,eh3aga1p5lmk4,"RB, MLB",Nicholas County,WV,201,201,20.1,48,153,0.0,0.0,10,2023,tackles
18,Lucio,Ascolani,Lucio Ascolani,/ca/calexico/vincent-memorial-scots/athletes/lucio-ascolani/football/stats/?careerid=jlopc0qre9scc,jlopc0qre9scc,"ILB, KR",Vincent Memorial,CA,197,197,15.2,115,82,17.0,2.0,13,2023,tackles
19,Tyler,Atkinson,Tyler Atkinson,/ga/loganville/grayson-rams/athletes/tyler-atkinson/football/stats/?careerid=v9ri669mfip33,v9ri669mfip33,"DE, OLB",Grayson,GA,197,197,14.1,118,79,25.0,10.5,14,2023,tackles
20,Vincent,Carrico,Vincent Carrico,/ky/owensboro/owensboro-catholic-aces/athletes/vincent-carrico/football/stats/?careerid=2mdf31pilov11,2mdf31pilov11,"MLB, FB",Owensboro Catholic,KY,197,197,13.1,66,131,13.5,3.0,15,2023,tackles
21,Andrew,Plummer,Andrew Plummer,/ar/batesville/southside-southerners/athletes/andrew-plummer/football/stats/?careerid=3j74d2hhkh7ff,3j74d2hhkh7ff,"MLB, FB",Southside,AR,196,196,16.3,63,133,15.0,1.0,12,2023,tackles
