tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
1,Michael,Boulware,Michael Boulware,/sc/west-columbia/gray-collegiate-academy-war-eagles/athletes/michael-boulware/football/stats/?careerid=16nuugl6q6355,16nuugl6q6355,MLB,Gray Collegiate Academy,SC,283,283,20.2,51,232,20.0,3.0,14,2025,tackles
2,Keenan,Mowery-shields,Keenan Mowery-shields,/in/greencastle/south-putnam-eagles/athletes/keenan-mowery-shields/football/stats/?careerid=alp22qjb2j5j3,alp22qjb2j5j3,"OLB, T",South Putnam,IN,251,251,17.9,143,108,20.0,5.5,14,2025,tackles
3,Isaiah,Phelps,Isaiah Phelps,/ca/oxnard/pacifica-tritons/athletes/isaiah-phelps/football/stats/?careerid=01g0dugsji7cc,01g0dugsji7cc,"LB, RB",Pacifica,CA,232,232,14.5,89,143,23.0,4.0,16,2025,tackles
4,Trent,Stewart,Trent Stewart,/tx/collinsville/collinsville-pirates/athletes/trent-stewart/football/stats/?careerid=0cjkkbh5enem6,0cjkkbh5enem6,"RB, LB",Collinsville,TX,229,229,17.6,44,185,10.0,1.0,13,2025,tackles
5,Zachariah,Winters,Zachariah Winters,/ca/lynwood/lynwood-knights/athletes/zachariah-winters/football/stats/?careerid=t43243co2cr66,t43243co2cr66,"MLB, FB",Lynwood,CA,225,225,22.5,98,127,6.0,0.0,10,2025,tackles
6,Zane,Achterberg,Zane Achterberg,/mo/st-james/st-james-tigers/athletes/zane-achterberg/football/stats/?careerid=0qdg127ptvi22,0qdg127ptvi22,"RB, MLB",St. James,MO,212,212,19.3,61,151,13.0,0.0,11,2025,tackles
7,Victor,Saenz,Victor Saenz,/tx/ropesville/ropes-eagles/athletes/victor-saenz/football/stats/?careerid=ljkb0drv40q33,ljkb0drv40q33,"NG, TE",Ropes,TX,207,207,15.9,64,143,48.0,5.0,13,2025,tackles
8,Kellen,Fry,Kellen Fry,/ok/cushing/cushing-tigers/athletes/kellen-fry/football/stats/?careerid=8t2d4pra41177,8t2d4pra41177,MLB,Cushing,OK,205,205,15.8,103,102,30.0,11.0,13,2025,tackles
9,Aiden,Peterson,Aiden Peterson,/oh/lakewood/st-edward-eagles/athletes/aiden-peterson/football/stats/?careerid=7bf8v28uh07qa,7bf8v28uh07qa,LB,St. Edward,OH,203,203,14.5,37,166,20.5,7.0,14,2025,tackles
10,Taylor,Johnson,Taylor Johnson,/ca/san-bernardino/cajon-cowboys/athletes/taylor-johnson/football/stats/?careerid=lvdbue2654cqa,lvdbue2654cqa,MLB,Cajon,CA,201,201,18.3,124,77,17.5,6.5,11,2025,tackles
11,Jailen,Smith,Jailen Smith,/nc/thomasville/thomasville-bulldogs/athletes/jailen-smith/football/stats/?careerid=ct82i2kl6ehm6,ct82i2kl6ehm6,"MLB, DE",Thomasville,NC,201,201,15.5,57,144,26.0,10.0,13,2025,tackles
12,Logan,Woolard,Logan Woolard,/tx/alvarado/alvarado-indians/athletes/logan-woolard/football/stats/?careerid=r49f5sn493v77,r49f5sn493v77,,Alvarado,TX,199,199,15.3,136,63,32.0,10.0,13,2025,tackles
13,Denton,Walter,Denton Walter,/nm/las-cruces/las-cruces-bulldawgs/athletes/denton-walter/football/stats/?careerid=6d427i725a666,6d427i725a666,"LB, K",Las Cruces,NM,197,197,15.2,103,94,20.0,7.0,13,2025,tackles
14,Deville,Warner,Deville Warner,/ca/oxnard/pacifica-tritons/athletes/deville-warner/football/stats/?careerid=br5msui2tbp99,br5msui2tbp99,"LB, FS",Pacifica,CA,196,196,12.2,71,125,15.0,3.0,16,2025,tackles
15,Peyton,Carter,Peyton Carter,/ut/salt-lake-city/skyline-eagles/athletes/peyton-carter/football/stats/?careerid=pshv7qil094i2,pshv7qil094i2,"MLB, OLB",Skyline,UT,194,194,17.6,91,103,9.0,4.0,11,2025,tackles
16,Mark,Haygood,Mark Haygood,/tx/canadian/canadian-wildcats/athletes/mark-haygood/football/stats/?careerid=robgkg9le2dj3,robgkg9le2dj3,"C, OLB",Canadian,TX,193,193,14.8,23,170,39.0,6.0,13,2025,tackles
17,Marquis,James,Marquis James,/nc/spring-lake/overhills-jaguars/athletes/marquis-james/football/stats/?careerid=irbdt6tvovu55,irbdt6tvovu55,"SS, LB",Overhills,NC,191,191,17.4,49,142,13.0,0.0,11,2025,tackles
18,Judah,Harris,Judah Harris,/nc/wilson/hunt-warriors/athletes/judah-harris/football/stats/?careerid=nqng26rtkfek4,nqng26rtkfek4,"ILB, RB",Hunt,NC,191,191,13.6,95,96,50.0,7.0,14,2025,tackles
19,Isaiah,Bohlmann,Isaiah Bohlmann,/il/maroa/maroa-forsyth-trojans/athletes/isaiah-bohlmann/football/stats/?careerid=jvrl7qlnjnjn7,jvrl7qlnjnjn7,"WR, DB",Maroa-Forsyth,IL,190,190,13.6,103,87,16.0,2.0,14,2025,tackles
20,Andrew,Caprioli,Andrew Caprioli,/ny/hyde-park/roosevelt-presidents/athletes/andrew-caprioli/football/stats/?careerid=dkvmrkilcqho8,dkvmrkilcqho8,"ILB, FB",Roosevelt,NY,188,188,18.8,84,104,3.0,0.0,10,2025,tackles
21,Landon,Sherrard,Landon Sherrard,/tx/nacogdoches/nacogdoches-dragons/athletes/landon-sherrard/football/stats/?careerid=1sh7n5m4rdnrb,1sh7n5m4rdnrb,"MLB, LB",Nacogdoches,TX,188,188,17.1,87,101,39.0,3.0,11,2025,tackles
22,Koa,Rapolla,Koa Rapolla,/ca/palm-springs/palm-springs-indians/athletes/koa-rapolla/football/stats/?careerid=tb1oq61prsevf,tb1oq61prsevf,"LB, RB",Palm Springs,CA,188,188,14.5,126,62,19.0,11.0,13,2025,tackles
23,Cody,Adkinson,Cody Adkinson,/tx/center/center-roughriders/athletes/cody-adkinson/football/stats/?careerid=se2rgvjma7n22,se2rgvjma7n22,"RB, MLB",Center,TX,187,187,17.0,121,66,16.5,2.0,11,2025,tackles
24,Ayden,Knuebel,Ayden Knuebel,/oh/streetsboro/streetsboro-rockets/athletes/ayden-knuebel/football/stats/?careerid=9j6ra9m7funh1,9j6ra9m7funh1,"MLB, RB",Streetsboro,OH,187,187,15.6,87,100,14.0,1.0,12,2025,tackles
25,"Jonathan ""Jack""",Csillag,"Jonathan ""Jack"" Csillag",/tn/mountain-city/johnson-county-longhorns/athletes/jonathan-jack-csillag/football/stats/?careerid=5r4o1v4tnjvj3,5r4o1v4tnjvj3,"WR, LB",Johnson County,TN,186,186,16.9,87,99,22.0,4.0,11,2025,tackles
26,Brayden,Homoki,Brayden Homoki,/oh/grafton/midview-middies/athletes/brayden-homoki/football/stats/?careerid=c8pmkrpchgtl5,c8pmkrpchgtl5,"MLB, TE",Midview,OH,186,186,16.9,85,101,13.0,0.0,11,2025,tackles
27,Cooper,Moore,Cooper Moore,/nc/lexington/west-davidson-dragons/athletes/cooper-moore/football/stats/?careerid=rfdiiutbvn411,rfdiiutbvn411,"LB, RB",West Davidson,NC,185,185,13.2,57,128,11.0,2.5,14,2025,tackles
28,Karter,Macfie,Karter Macfie,/nc/brevard/brevard-blue-devils/athletes/karter-macfie/football/stats/?careerid=ff81kgg01tkff,ff81kgg01tkff,"RB, LB",Brevard,NC,185,185,12.3,44,141,9.0,1.0,15,2025,tackles
29,Zayden,Cundiff,Zayden Cundiff,/az/florence/florence-gophers/athletes/zayden-cundiff/football/stats/?careerid=utvorauopjeaa,utvorauopjeaa,"MLB, RB",Florence,AZ,184,184,16.7,103,81,27.0,4.0,11,2025,tackles
30,William,Winters,William Winters,/ga/macon/academy-for-classical-education-gryphons/athletes/william-winters/football/stats/?careerid=asnv8k720v799,asnv8k720v799,"LB, B",Academy for Classical Education,GA,184,184,16.7,79,105,17.0,1.0,11,2025,tackles
31,Chris,Romero,Chris Romero,/ca/santa-ana/saddleback-roadrunners/athletes/chris-romero/football/stats/?careerid=h4ksj3huhv188,h4ksj3huhv188,"ATH, S",Saddleback,CA,184,184,14.2,121,63,10.0,5.0,13,2025,tackles
