rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,rushing_yards_per_attempt,rushing_attempts,longest_rush,rushing_touchdowns,fumbles,games_played,year,category
1,Derrick,Henry,Derrick Henry,/fl/yulee/yulee-hornets/athletes/derrick-henry/football/stats/?careerid=p08a78vsrsvtd,p08a78vsrsvtd,"RB, ATH",Yulee,FL,4261,4261,327.8,9.22,462,80,55,2,13,2012,rushing
2,Jake,Taylor,Jake Taylor,/ca/lake-arrowhead/rim-of-the-world-fighting-scots/athletes/jake-taylor/football/stats/?careerid=gkol8mct6esk4,gkol8mct6esk4,"RB, DB",Rim of the World,CA,4036,4036,288.3,9.7,416,85,57,0,14,2012,rushing
3,Max,Mickey,Max Mickey,/mo/holden/holden-eagles/athletes/max-mickey/football/stats/?careerid=7qcq0csjcerj3,7qcq0csjcerj3,"RB, FS",Holden,MO,3382,3382,241.6,10.22,331,88,45,6,14,2012,rushing
4,Sty,Hairston,Sty Hairston,/ca/banning/banning-broncos/athletes/sty-hairston/football/stats/?careerid=v8b1hmdhaut66,v8b1hmdhaut66,"QB, DB",Banning,CA,3376,3376,259.7,14.43,234,98,49,0,13,2012,rushing
5,Jalen,Hurd,Jalen Hurd,/tn/hendersonville/beech-buccaneers/athletes/jalen-hurd/football/stats/?careerid=pa255fejhifk4,pa255fejhifk4,"RB, DB",Beech,TN,3357,3357,239.8,10.59,317,87,43,6,14,2012,rushing
6,Derek,Jackson,Derek Jackson,/co/pueblo-west/pueblo-west-cyclones/athletes/derek-jackson/football/stats/?careerid=u34h05qr1ksbb,u34h05qr1ksbb,TB,Pueblo West,CO,3343,3343,278.6,9.86,339,96,29,2,12,2012,rushing
7,Elijah,Hood,Elijah Hood,/nc/charlotte/charlotte-catholic-cougars/athletes/elijah-hood/football/stats/?careerid=vajbfmd61h100,vajbfmd61h100,RB,Charlotte Catholic,NC,3309,3309,220.6,11.9,278,0,48,0,15,2012,rushing
8,Mark,Dodson Jr.,Mark Dodson Jr.,/tn/memphis/whitehaven-tigers/athletes/mark-dodson-jr/football/stats/?careerid=nfct0gmlf1cp9,nfct0gmlf1cp9,"RB, DB",Whitehaven,TN,3295,3295,219.7,10.36,318,0,37,0,15,2012,rushing
9,Damien,Haskins,Damien Haskins,/tx/new-boston/new-boston-lions/athletes/damien-haskins/football/stats/?careerid=ne6k4jbaatree,ne6k4jbaatree,RB,New Boston,TX,3207,3207,246.7,11.14,288,0,0,0,13,2012,rushing
10,Tj,Logan,Tj Logan,/nc/greensboro/northern-guilford-nighthawks/athletes/tj-logan/football/stats/?careerid=0kah0f0kh87ff,0kah0f0kh87ff,"RB, FS",Northern Guilford,NC,3146,3146,209.7,10.74,293,93,47,2,15,2012,rushing
