rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,rushing_yards_per_attempt,rushing_attempts,longest_rush,rushing_touchdowns,fumbles,games_played,year,category
1,Joseph,Sadler,Joseph Sadler,/tx/devine/devine-warhorses-arabians/athletes/joseph-sadler/football/stats/?careerid=bpmtnjuitd6p9,bpmtnjuitd6p9,RB,Devine,TX,3887,3887,277.6,10.1,385,0,58,0,14,2011,rushing
2,John,Gray,John Gray,/tx/aledo/aledo-bearcats/athletes/john-gray/football/stats/?careerid=cjltgpdhgotqa,cjltgpdhgotqa,RB,Aledo,TX,3886,3886,242.9,10.88,357,0,65,0,16,2011,rushing
3,Arkeel,Newsome,Arkeel Newsome,/ct/ansonia/ansonia-chargers/athletes/arkeel-newsome/football/stats/?careerid=c3neaciemjs77,c3neaciemjs77,"RB, DB",Ansonia,CT,3763,3763,268.8,12.02,313,98,58,2,14,2011,rushing
4,OLITO,THOMPSON,OLITO THOMPSON,/ca/concord/concord-bears/athletes/olito-thompson/football/stats/?careerid=j1uffkn8pus22,j1uffkn8pus22,"RB, LB",Concord,CA,3488,3488,249.1,8.55,408,0,35,0,14,2011,rushing
5,Ross,Franklin,Ross Franklin,/oh/johnstown/johnstown-monroe-johnnies/athletes/ross-franklin/football/stats/?careerid=84901ra58t099,84901ra58t099,"RB, DB",Johnstown-Monroe,OH,3472,3472,248.0,10.24,339,88,49,2,14,2011,rushing
6,Sheldon,Wilson,Sheldon Wilson,/ok/anadarko/anadarko-warriors/athletes/sheldon-wilson/football/stats/?careerid=r6517532a4rk4,r6517532a4rk4,"RB, DB",Anadarko,OK,3335,3335,222.3,12.78,261,81,57,4,15,2011,rushing
7,Marquise,Grizzle,Marquise Grizzle,/nc/barco/currituck-county-knights/athletes/marquise-grizzle/football/stats/?careerid=71noa2ggc8b88,71noa2ggc8b88,"RB, DB",Currituck County,NC,3129,3129,240.7,9.87,317,99,50,2,13,2011,rushing
8,D.J.,Foster,D.J. Foster,/az/scottsdale/saguaro-sabercats/athletes/dj-foster/football/stats/?careerid=ip9vhi9tdf6p9,ip9vhi9tdf6p9,"RB, DB",Saguaro,AZ,3058,3058,235.2,13.07,234,80,54,1,13,2011,rushing
9,Wayne,Onderdonck,Wayne Onderdonck,/tx/alvarado/alvarado-indians/athletes/wayne-onderdonck/football/stats/?careerid=ncnfd0ljhrsue,ncnfd0ljhrsue,RB,Alvarado,TX,2996,2996,199.7,8.74,343,82,30,3,15,2011,rushing
10,Malquawn,Pinkney,Malquawn Pinkney,/ma/springfield/putnam-vo-tech-beavers/athletes/malquawn-pinkney/football/stats/?careerid=06gscmkanman7,06gscmkanman7,"RB, CB",Putnam Vo-Tech,MA,2970,2970,228.5,8.63,344,97,42,2,13,2011,rushing
